"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/Powerless.dll*",".{0,1000}\/Powerless\.dll.{0,1000}","offensive_tool_keyword","PowerLess","PowerShell-based modular backdoor that has been used by Magic Hound group","T1560 - T1217 - T1059.001 - T1005 - T1074.001 - T1140 - T1573 - T1105 - T1056.001","TA0011 - TA0009 - TA0010 - TA0005 - TA0002 - TA0006","N/A","Magic Hound","Malware","https://gist.github.com/farzinenddo/bb1f1ecb56aa9326abc7b47fc99e588e","1","1","N/A","N/A","10","4","N/A","N/A","N/A","N/A"
"*\Powerless.cpp*",".{0,1000}\\Powerless\.cpp.{0,1000}","offensive_tool_keyword","PowerLess","PowerShell-based modular backdoor that has been used by Magic Hound group","T1560 - T1217 - T1059.001 - T1005 - T1074.001 - T1140 - T1573 - T1105 - T1056.001","TA0011 - TA0009 - TA0010 - TA0005 - TA0002 - TA0006","N/A","Magic Hound","Malware","https://gist.github.com/farzinenddo/bb1f1ecb56aa9326abc7b47fc99e588e","1","0","N/A","N/A","10","4","N/A","N/A","N/A","N/A"
"*\Powerless.dll*",".{0,1000}\\Powerless\.dll.{0,1000}","offensive_tool_keyword","PowerLess","PowerShell-based modular backdoor that has been used by Magic Hound group","T1560 - T1217 - T1059.001 - T1005 - T1074.001 - T1140 - T1573 - T1105 - T1056.001","TA0011 - TA0009 - TA0010 - TA0005 - TA0002 - TA0006","N/A","Magic Hound","Malware","https://gist.github.com/farzinenddo/bb1f1ecb56aa9326abc7b47fc99e588e","1","0","N/A","N/A","10","4","N/A","N/A","N/A","N/A"
"*\Powerless.exe*",".{0,1000}\\Powerless\.exe.{0,1000}","offensive_tool_keyword","PowerLess","PowerShell-based modular backdoor that has been used by Magic Hound group","T1560 - T1217 - T1059.001 - T1005 - T1074.001 - T1140 - T1573 - T1105 - T1056.001","TA0011 - TA0009 - TA0010 - TA0005 - TA0002 - TA0006","N/A","Magic Hound","Malware","https://gist.github.com/farzinenddo/bb1f1ecb56aa9326abc7b47fc99e588e","1","0","N/A","N/A","10","4","N/A","N/A","N/A","N/A"
"*\PowerLessCLR.pdb*",".{0,1000}\\PowerLessCLR\.pdb.{0,1000}","offensive_tool_keyword","PowerLess","PowerShell-based modular backdoor that has been used by Magic Hound group","T1560 - T1217 - T1059.001 - T1005 - T1074.001 - T1140 - T1573 - T1105 - T1056.001","TA0011 - TA0009 - TA0010 - TA0005 - TA0002 - TA0006","N/A","Magic Hound","Malware","https://gist.github.com/farzinenddo/bb1f1ecb56aa9326abc7b47fc99e588e","1","0","N/A","N/A","10","4","N/A","N/A","N/A","N/A"
"*026db4159e7e36e00fdcef1e29f73b40030a3572*",".{0,1000}026db4159e7e36e00fdcef1e29f73b40030a3572.{0,1000}","offensive_tool_keyword","PowerLess","PowerShell-based modular backdoor that has been used by Magic Hound group","T1560 - T1217 - T1059.001 - T1005 - T1074.001 - T1140 - T1573 - T1105 - T1056.001","TA0011 - TA0009 - TA0010 - TA0005 - TA0002 - TA0006","N/A","Magic Hound","Malware","https://gist.github.com/farzinenddo/bb1f1ecb56aa9326abc7b47fc99e588e","1","0","#filehash","N/A","10","4","N/A","N/A","N/A","N/A"
"*0492b9ad7ae35ee1e0b6f53a6b7c2c75e9b5d427*",".{0,1000}0492b9ad7ae35ee1e0b6f53a6b7c2c75e9b5d427.{0,1000}","offensive_tool_keyword","PowerLess","PowerShell-based modular backdoor that has been used by Magic Hound group","T1560 - T1217 - T1059.001 - T1005 - T1074.001 - T1140 - T1573 - T1105 - T1056.001","TA0011 - TA0009 - TA0010 - TA0005 - TA0002 - TA0006","N/A","Magic Hound","Malware","https://gist.github.com/farzinenddo/bb1f1ecb56aa9326abc7b47fc99e588e","1","0","#filehash","N/A","10","4","N/A","N/A","N/A","N/A"
"*32224892b670467e23874d7e8abd2ef92987a7e6*",".{0,1000}32224892b670467e23874d7e8abd2ef92987a7e6.{0,1000}","offensive_tool_keyword","PowerLess","PowerShell-based modular backdoor that has been used by Magic Hound group","T1560 - T1217 - T1059.001 - T1005 - T1074.001 - T1140 - T1573 - T1105 - T1056.001","TA0011 - TA0009 - TA0010 - TA0005 - TA0002 - TA0006","N/A","Magic Hound","Malware","https://gist.github.com/farzinenddo/bb1f1ecb56aa9326abc7b47fc99e588e","1","0","#filehash","N/A","10","4","N/A","N/A","N/A","N/A"
"*3a6431169073d61748829c31a9da29123dd61da8*",".{0,1000}3a6431169073d61748829c31a9da29123dd61da8.{0,1000}","offensive_tool_keyword","PowerLess","PowerShell-based modular backdoor that has been used by Magic Hound group","T1560 - T1217 - T1059.001 - T1005 - T1074.001 - T1140 - T1573 - T1105 - T1056.001","TA0011 - TA0009 - TA0010 - TA0005 - TA0002 - TA0006","N/A","Magic Hound","Malware","https://gist.github.com/farzinenddo/bb1f1ecb56aa9326abc7b47fc99e588e","1","0","#filehash","N/A","10","4","N/A","N/A","N/A","N/A"
"*3bfec62c094366844c3e4c0e257e01678f55ef5b*",".{0,1000}3bfec62c094366844c3e4c0e257e01678f55ef5b.{0,1000}","offensive_tool_keyword","PowerLess","PowerShell-based modular backdoor that has been used by Magic Hound group","T1560 - T1217 - T1059.001 - T1005 - T1074.001 - T1140 - T1573 - T1105 - T1056.001","TA0011 - TA0009 - TA0010 - TA0005 - TA0002 - TA0006","N/A","Magic Hound","Malware","https://gist.github.com/farzinenddo/bb1f1ecb56aa9326abc7b47fc99e588e","1","0","#filehash","N/A","10","4","N/A","N/A","N/A","N/A"
