"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/PS2EXE.git*","offensive_tool_keyword","PS2EXE","Module to compile powershell scripts to executables","T1027.001 - T1564.003 - T1564.005","TA0002 - TA0006","N/A","N/A","Exploitation tools","https://github.com/MScholtes/PS2EXE","1","1","N/A","N/A","9","878","167","2023-09-26T15:03:14Z","2019-11-08T09:25:02Z"
"*/PS2EXE/*","offensive_tool_keyword","PS2EXE","Module to compile powershell scripts to executables","T1027.001 - T1564.003 - T1564.005","TA0002 - TA0006","N/A","N/A","Exploitation tools","https://github.com/MScholtes/PS2EXE","1","1","N/A","N/A","9","878","167","2023-09-26T15:03:14Z","2019-11-08T09:25:02Z"
"*\Win-PS2EXE*","offensive_tool_keyword","PS2EXE","Module to compile powershell scripts to executables","T1027.001 - T1564.003 - T1564.005","TA0002 - TA0006","N/A","N/A","Exploitation tools","https://github.com/MScholtes/PS2EXE","1","0","N/A","N/A","9","878","167","2023-09-26T15:03:14Z","2019-11-08T09:25:02Z"
"*Install-Module ps2exe*","offensive_tool_keyword","PS2EXE","Module to compile powershell scripts to executables","T1027.001 - T1564.003 - T1564.005","TA0002 - TA0006","N/A","N/A","Exploitation tools","https://github.com/MScholtes/PS2EXE","1","1","N/A","N/A","9","878","167","2023-09-26T15:03:14Z","2019-11-08T09:25:02Z"
"*Invoke-ps2exe*","offensive_tool_keyword","PS2EXE","Module to compile powershell scripts to executables","T1027.001 - T1564.003 - T1564.005","TA0002 - TA0006","N/A","N/A","Exploitation tools","https://github.com/MScholtes/PS2EXE","1","1","N/A","N/A","9","878","167","2023-09-26T15:03:14Z","2019-11-08T09:25:02Z"
"*MScholtes/PS2EXE*","offensive_tool_keyword","PS2EXE","Module to compile powershell scripts to executables","T1027.001 - T1564.003 - T1564.005","TA0002 - TA0006","N/A","N/A","Exploitation tools","https://github.com/MScholtes/PS2EXE","1","1","N/A","N/A","9","878","167","2023-09-26T15:03:14Z","2019-11-08T09:25:02Z"
"*ps2exe -*","offensive_tool_keyword","PS2EXE","Module to compile powershell scripts to executables","T1027.001 - T1564.003 - T1564.005","TA0002 - TA0006","N/A","N/A","Exploitation tools","https://github.com/MScholtes/PS2EXE","1","0","N/A","N/A","9","878","167","2023-09-26T15:03:14Z","2019-11-08T09:25:02Z"
"*ps2exe *.ps1*.exe*","offensive_tool_keyword","PS2EXE","Module to compile powershell scripts to executables","T1027.001 - T1564.003 - T1564.005","TA0002 - TA0006","N/A","N/A","Exploitation tools","https://github.com/MScholtes/PS2EXE","1","0","N/A","N/A","9","878","167","2023-09-26T15:03:14Z","2019-11-08T09:25:02Z"
"*ps2exe.ps1*","offensive_tool_keyword","PS2EXE","Module to compile powershell scripts to executables","T1027.001 - T1564.003 - T1564.005","TA0002 - TA0006","N/A","N/A","Exploitation tools","https://github.com/MScholtes/PS2EXE","1","1","N/A","N/A","9","878","167","2023-09-26T15:03:14Z","2019-11-08T09:25:02Z"
"*ps2exe.psd1*","offensive_tool_keyword","PS2EXE","Module to compile powershell scripts to executables","T1027.001 - T1564.003 - T1564.005","TA0002 - TA0006","N/A","N/A","Exploitation tools","https://github.com/MScholtes/PS2EXE","1","1","N/A","N/A","9","878","167","2023-09-26T15:03:14Z","2019-11-08T09:25:02Z"
"*ps2exe.psm1*","offensive_tool_keyword","PS2EXE","Module to compile powershell scripts to executables","T1027.001 - T1564.003 - T1564.005","TA0002 - TA0006","N/A","N/A","Exploitation tools","https://github.com/MScholtes/PS2EXE","1","1","N/A","N/A","9","878","167","2023-09-26T15:03:14Z","2019-11-08T09:25:02Z"
"*PS2EXE-master*","offensive_tool_keyword","PS2EXE","Module to compile powershell scripts to executables","T1027.001 - T1564.003 - T1564.005","TA0002 - TA0006","N/A","N/A","Exploitation tools","https://github.com/MScholtes/PS2EXE","1","1","N/A","N/A","9","878","167","2023-09-26T15:03:14Z","2019-11-08T09:25:02Z"
"*Win-PS2EXE.exe*","offensive_tool_keyword","PS2EXE","Module to compile powershell scripts to executables","T1027.001 - T1564.003 - T1564.005","TA0002 - TA0006","N/A","N/A","Exploitation tools","https://github.com/MScholtes/PS2EXE","1","1","N/A","N/A","9","878","167","2023-09-26T15:03:14Z","2019-11-08T09:25:02Z"
