"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* c:\\Temp\\lua.log*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","0","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
"*/bin2hex.lua*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","1","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
"*/bindshell.lua*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","1","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
"*/downloadexec.lua*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","1","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
"*/OffensiveLua.git*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","1","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
"*/regread.lua*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","1","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
"*/regwrite.lua*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","1","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
"*/regwritedel.lua*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","1","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
"*/runcmd.lua*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","1","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
"*/runcmd2.lua*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","1","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
"*/runswhide.lua*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","1","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
"*\\Users\\Fantastic\\Desktop\\DEMO\\plugins\\scripts\\*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","0","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
"*\bin2hex.lua*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","0","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
"*\bindshell.lua*","offensive_tool_keyword","OffensiveLua","Offensive Lua is a collection of offensive security scripts written in Lua with FFI","T1059  - T1218.011 - T1105 - T1021.002 - T1564.001 - T1112 - T1113 - T1204.002 - T1547.002","TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0011","N/A","N/A","Exploitation tools","https://github.com/hackerhouse-opensource/OffensiveLua","1","0","N/A","8","2","109","12","2023-11-17T00:35:10Z","2023-10-25T17:21:13Z"
