"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/PipeViewer.exe*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","1","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
"*/PipeViewer.git*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","1","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
"*/PipeViewer.sln*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","1","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
"*/PipeViewer/Program.cs*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","1","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
"*\PipeViewer.exe*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","1","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
"*\PipeViewer.sln*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","0","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
"*\PipeViewer\Program.cs*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","0","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
"*2419CEDC-BF3A-4D8D-98F7-6403415BEEA4*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","0","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
"*cyberark/PipeViewer*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","1","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
"*NamedPipeServer.ps1*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","0","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
"*OLDNamedPipeServer.ps1*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","1","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
"*PipeViewer.csproj*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","1","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
"*PipeViewer_v1.1.zip*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","1","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
"*PipeViewer-main*","offensive_tool_keyword","PipeViewer ","A tool that shows detailed information about named pipes in Windows","T1022.002 - T1056.002","TA0005 - TA0009","N/A","N/A","discovery","https://github.com/cyberark/PipeViewer","1","1","N/A","5","5","458","33","2023-08-23T09:34:06Z","2022-12-22T12:35:34Z"
