"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* oshi.at *",".{0,1000}\soshi\.at\s.{0,1000}","greyware_tool_keyword","OshiUpload","Ephemeral file sharing engine","T1030 - T1048 - T1078.004 - T1105 - T1567.001","TA0010","N/A","N/A","Data Exfiltration","https://github.com/somenonymous/OshiUpload","1","0","N/A","N/A","10","2","166","23","2022-10-01T04:08:29Z","2019-05-11T02:08:51Z"
"* --socks5-hostname 127.0.0.1:9050*",".{0,1000}\s\-\-socks5\-hostname\s127\.0\.0\.1\:9050.{0,1000}","greyware_tool_keyword","OshiUpload","Ephemeral file sharing engine","T1030 - T1048 - T1078.004 - T1105 - T1567.001","TA0010","N/A","N/A","Data Exfiltration","https://github.com/somenonymous/OshiUpload","1","0","N/A","N/A","10","2","166","23","2022-10-01T04:08:29Z","2019-05-11T02:08:51Z"
"*/oshi_run.pl*",".{0,1000}\/oshi_run\.pl.{0,1000}","greyware_tool_keyword","OshiUpload","Ephemeral file sharing engine","T1030 - T1048 - T1078.004 - T1105 - T1567.001","TA0010","N/A","N/A","Data Exfiltration","https://github.com/somenonymous/OshiUpload","1","0","N/A","N/A","10","2","166","23","2022-10-01T04:08:29Z","2019-05-11T02:08:51Z"
"*/OshiUpload.git*",".{0,1000}\/OshiUpload\.git.{0,1000}","greyware_tool_keyword","OshiUpload","Ephemeral file sharing engine","T1030 - T1048 - T1078.004 - T1105 - T1567.001","TA0010","N/A","N/A","Data Exfiltration","https://github.com/somenonymous/OshiUpload","1","1","N/A","N/A","10","2","166","23","2022-10-01T04:08:29Z","2019-05-11T02:08:51Z"
"*[info] TCP upload server started (tcp.pl)*",".{0,1000}\[info\]\sTCP\supload\sserver\sstarted\s\(tcp\.pl\).{0,1000}","greyware_tool_keyword","OshiUpload","Ephemeral file sharing engine","T1030 - T1048 - T1078.004 - T1105 - T1567.001","TA0010","N/A","N/A","Data Exfiltration","https://github.com/somenonymous/OshiUpload","1","0","N/A","N/A","10","2","166","23","2022-10-01T04:08:29Z","2019-05-11T02:08:51Z"
"*1640fb593deccf72c27363463e6001a1ced831f423b00c8687555115f9365bec*",".{0,1000}1640fb593deccf72c27363463e6001a1ced831f423b00c8687555115f9365bec.{0,1000}","greyware_tool_keyword","OshiUpload","Ephemeral file sharing engine","T1030 - T1048 - T1078.004 - T1105 - T1567.001","TA0010","N/A","N/A","Data Exfiltration","https://github.com/somenonymous/OshiUpload","1","0","#filehash","N/A","10","2","166","23","2022-10-01T04:08:29Z","2019-05-11T02:08:51Z"
"*5ety7tpkim5me6eszuwcje7bmy25pbtrjtue7zkqqgziljwqy3rrikqd.onion*",".{0,1000}5ety7tpkim5me6eszuwcje7bmy25pbtrjtue7zkqqgziljwqy3rrikqd\.onion.{0,1000}","greyware_tool_keyword","OshiUpload","Ephemeral file sharing engine","T1030 - T1048 - T1078.004 - T1105 - T1567.001","TA0010","N/A","N/A","Data Exfiltration","https://github.com/somenonymous/OshiUpload","1","1","N/A","N/A","10","2","166","23","2022-10-01T04:08:29Z","2019-05-11T02:08:51Z"
"*ADMIN_BASICAUTH_PASSWORDHASH = f52fbd32b2b3b86ff88ef6c490628285f482af15ddcb29541f94bcf526a3f6c7*",".{0,1000}ADMIN_BASICAUTH_PASSWORDHASH\s\=\sf52fbd32b2b3b86ff88ef6c490628285f482af15ddcb29541f94bcf526a3f6c7.{0,1000}","greyware_tool_keyword","OshiUpload","Ephemeral file sharing engine","T1030 - T1048 - T1078.004 - T1105 - T1567.001","TA0010","N/A","N/A","Data Exfiltration","https://github.com/somenonymous/OshiUpload","1","0","N/A","N/A","10","2","166","23","2022-10-01T04:08:29Z","2019-05-11T02:08:51Z"
"*ADMIN_ROUTE = /SuPeRsEcReTuRl/*",".{0,1000}ADMIN_ROUTE\s\=\s\/SuPeRsEcReTuRl\/.{0,1000}","greyware_tool_keyword","OshiUpload","Ephemeral file sharing engine","T1030 - T1048 - T1078.004 - T1105 - T1567.001","TA0010","N/A","N/A","Data Exfiltration","https://github.com/somenonymous/OshiUpload","1","0","N/A","N/A","10","2","166","23","2022-10-01T04:08:29Z","2019-05-11T02:08:51Z"
"*https://oshi.at/*",".{0,1000}https\:\/\/oshi\.at\/.{0,1000}","greyware_tool_keyword","OshiUpload","Ephemeral file sharing engine","T1030 - T1048 - T1078.004 - T1105 - T1567.001","TA0010","N/A","N/A","Data Exfiltration","https://github.com/somenonymous/OshiUpload","1","1","N/A","N/A","10","2","166","23","2022-10-01T04:08:29Z","2019-05-11T02:08:51Z"
