"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* stop ProxifierDrv*",".{0,1000}\sstop\sProxifierDrv.{0,1000}","greyware_tool_keyword","Proxifier","allows to proxy connections for programs","T1090 - T1071 - T1078.003","TA0005","N/A","N/A","Defense Evasion","https://www.proxifier.com/download/","1","0","N/A","8","9","N/A","N/A","N/A","N/A"
"*/Proxifier.app/Contents/MacOS/Proxifier*",".{0,1000}\/Proxifier\.app\/Contents\/MacOS\/Proxifier.{0,1000}","greyware_tool_keyword","Proxifier","allows to proxy connections for programs","T1090 - T1071 - T1078.003","TA0005","N/A","N/A","Defense Evasion","https://www.proxifier.com/download/","1","0","N/A","8","9","N/A","N/A","N/A","N/A"
"*/Proxifier.exe*",".{0,1000}\/Proxifier\.exe.{0,1000}","greyware_tool_keyword","Proxifier","allows to proxy connections for programs","T1090 - T1071 - T1078.003","TA0005","N/A","N/A","Defense Evasion","https://www.proxifier.com/download/","1","1","N/A","8","9","N/A","N/A","N/A","N/A"
"*/Proxifier/Proxifier.app/*",".{0,1000}\/Proxifier\/Proxifier\.app\/.{0,1000}","greyware_tool_keyword","Proxifier","allows to proxy connections for programs","T1090 - T1071 - T1078.003","TA0005","N/A","N/A","Defense Evasion","https://www.proxifier.com/download/","1","0","N/A","8","9","N/A","N/A","N/A","N/A"
"*/ProxifierPE.zip*",".{0,1000}\/ProxifierPE\.zip.{0,1000}","greyware_tool_keyword","Proxifier","allows to proxy connections for programs","T1090 - T1071 - T1078.003","TA0005","N/A","N/A","Defense Evasion","https://www.proxifier.com/download/","1","1","N/A","8","9","N/A","N/A","N/A","N/A"
"*/ProxifierSetup.exe*",".{0,1000}\/ProxifierSetup\.exe.{0,1000}","greyware_tool_keyword","Proxifier","allows to proxy connections for programs","T1090 - T1071 - T1078.003","TA0005","N/A","N/A","Defense Evasion","https://www.proxifier.com/download/","1","1","N/A","8","9","N/A","N/A","N/A","N/A"
"*\AppData\Local\Temp\*\Proxifier PE\*",".{0,1000}\\AppData\\Local\\Temp\\.{0,1000}\\Proxifier\sPE\\.{0,1000}","greyware_tool_keyword","Proxifier","allows to proxy connections for programs","T1090 - T1071 - T1078.003","TA0005","N/A","N/A","Defense Evasion","https://www.proxifier.com/download/","1","0","N/A","8","9","N/A","N/A","N/A","N/A"
"*\AppData\Local\Temp\Proxifier PE\*",".{0,1000}\\AppData\\Local\\Temp\\Proxifier\sPE\\.{0,1000}","greyware_tool_keyword","Proxifier","allows to proxy connections for programs","T1090 - T1071 - T1078.003","TA0005","N/A","N/A","Defense Evasion","https://www.proxifier.com/download/","1","0","N/A","8","9","N/A","N/A","N/A","N/A"
"*\Proxifier Service Manager.lnk*",".{0,1000}\\Proxifier\sService\sManager\.lnk.{0,1000}","greyware_tool_keyword","Proxifier","allows to proxy connections for programs","T1090 - T1071 - T1078.003","TA0005","N/A","N/A","Defense Evasion","https://www.proxifier.com/download/","1","0","N/A","8","9","N/A","N/A","N/A","N/A"
"*\Proxifier.exe*",".{0,1000}\\Proxifier\.exe.{0,1000}","greyware_tool_keyword","Proxifier","allows to proxy connections for programs","T1090 - T1071 - T1078.003","TA0005","N/A","N/A","Defense Evasion","https://www.proxifier.com/download/","1","0","N/A","8","9","N/A","N/A","N/A","N/A"
