"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/AdapticClient.exe*",".{0,1000}\/AdapticClient\.exe.{0,1000}","offensive_tool_keyword","AdaptixC2","C2- Adaptix is an extensible post-exploitation and adversarial emulation framework made for penetration testers","T1071 - T1105 - T1090 - T1568 - T1204 - T1566 - T1059","TA0011 - TA0010 - TA0008 - TA0002 - TA0001","N/A","N/A","C2","https://github.com/Adaptix-Framework/AdaptixC2","1","1","N/A","N/A","10","10","255","61","2025-03-01T11:10:30Z","2024-08-21T18:07:05Z"
"*/AdaptixC2.git*",".{0,1000}\/AdaptixC2\.git.{0,1000}","offensive_tool_keyword","AdaptixC2","C2- Adaptix is an extensible post-exploitation and adversarial emulation framework made for penetration testers","T1071 - T1105 - T1090 - T1568 - T1204 - T1566 - T1059","TA0011 - TA0010 - TA0008 - TA0002 - TA0001","N/A","N/A","C2","https://github.com/Adaptix-Framework/AdaptixC2","1","1","N/A","N/A","10","10","255","61","2025-03-01T11:10:30Z","2024-08-21T18:07:05Z"
"*\AdapticClient.exe*",".{0,1000}\\AdapticClient\.exe.{0,1000}","offensive_tool_keyword","AdaptixC2","C2- Adaptix is an extensible post-exploitation and adversarial emulation framework made for penetration testers","T1071 - T1105 - T1090 - T1568 - T1204 - T1566 - T1059","TA0011 - TA0010 - TA0008 - TA0002 - TA0001","N/A","N/A","C2","https://github.com/Adaptix-Framework/AdaptixC2","1","0","N/A","N/A","10","10","255","61","2025-03-01T11:10:30Z","2024-08-21T18:07:05Z"
"*9117d2d155a124e050aaf1c64011f5a65198f9dd91289ffcf809f8364740f1d5*",".{0,1000}9117d2d155a124e050aaf1c64011f5a65198f9dd91289ffcf809f8364740f1d5.{0,1000}","offensive_tool_keyword","AdaptixC2","C2- Adaptix is an extensible post-exploitation and adversarial emulation framework made for penetration testers","T1071 - T1105 - T1090 - T1568 - T1204 - T1566 - T1059","TA0011 - TA0010 - TA0008 - TA0002 - TA0001","N/A","N/A","C2","https://github.com/Adaptix-Framework/AdaptixC2","1","0","#filehash","N/A","10","10","255","61","2025-03-01T11:10:30Z","2024-08-21T18:07:05Z"
"*99a5f42e-60a8-4f1e-9dff-35443b972707*",".{0,1000}99a5f42e\-60a8\-4f1e\-9dff\-35443b972707.{0,1000}","offensive_tool_keyword","AdaptixC2","C2- Adaptix is an extensible post-exploitation and adversarial emulation framework made for penetration testers","T1071 - T1105 - T1090 - T1568 - T1204 - T1566 - T1059","TA0011 - TA0010 - TA0008 - TA0002 - TA0001","N/A","N/A","C2","https://github.com/Adaptix-Framework/AdaptixC2","1","0","#GUIDProject","N/A","10","10","255","61","2025-03-01T11:10:30Z","2024-08-21T18:07:05Z"
"*AdaptixClient/AdaptixClient*",".{0,1000}AdaptixClient\/AdaptixClient.{0,1000}","offensive_tool_keyword","AdaptixC2","C2- Adaptix is an extensible post-exploitation and adversarial emulation framework made for penetration testers","T1071 - T1105 - T1090 - T1568 - T1204 - T1566 - T1059","TA0011 - TA0010 - TA0008 - TA0002 - TA0001","N/A","N/A","C2","https://github.com/Adaptix-Framework/AdaptixC2","1","0","N/A","N/A","10","10","255","61","2025-03-01T11:10:30Z","2024-08-21T18:07:05Z"
"*Adaptix-Framework/AdaptixC2*",".{0,1000}Adaptix\-Framework\/AdaptixC2.{0,1000}","offensive_tool_keyword","AdaptixC2","C2- Adaptix is an extensible post-exploitation and adversarial emulation framework made for penetration testers","T1071 - T1105 - T1090 - T1568 - T1204 - T1566 - T1059","TA0011 - TA0010 - TA0008 - TA0002 - TA0001","N/A","N/A","C2","https://github.com/Adaptix-Framework/AdaptixC2","1","1","N/A","N/A","10","10","255","61","2025-03-01T11:10:30Z","2024-08-21T18:07:05Z"
"*AdaptixServer -p*",".{0,1000}AdaptixServer\s\-p.{0,1000}","offensive_tool_keyword","AdaptixC2","C2- Adaptix is an extensible post-exploitation and adversarial emulation framework made for penetration testers","T1071 - T1105 - T1090 - T1568 - T1204 - T1566 - T1059","TA0011 - TA0010 - TA0008 - TA0002 - TA0001","N/A","N/A","C2","https://github.com/Adaptix-Framework/AdaptixC2","1","0","N/A","N/A","10","10","255","61","2025-03-01T11:10:30Z","2024-08-21T18:07:05Z"
"*AdaptixServer/adaptixserver*",".{0,1000}AdaptixServer\/adaptixserver.{0,1000}","offensive_tool_keyword","AdaptixC2","C2- Adaptix is an extensible post-exploitation and adversarial emulation framework made for penetration testers","T1071 - T1105 - T1090 - T1568 - T1204 - T1566 - T1059","TA0011 - TA0010 - TA0008 - TA0002 - TA0001","N/A","N/A","C2","https://github.com/Adaptix-Framework/AdaptixC2","1","0","N/A","N/A","10","10","255","61","2025-03-01T11:10:30Z","2024-08-21T18:07:05Z"
"*d886eb849d99a52449eb869bdf954644c2d5259db29be9cc757084bf166c42e0*",".{0,1000}d886eb849d99a52449eb869bdf954644c2d5259db29be9cc757084bf166c42e0.{0,1000}","offensive_tool_keyword","AdaptixC2","C2- Adaptix is an extensible post-exploitation and adversarial emulation framework made for penetration testers","T1071 - T1105 - T1090 - T1568 - T1204 - T1566 - T1059","TA0011 - TA0010 - TA0008 - TA0002 - TA0001","N/A","N/A","C2","https://github.com/Adaptix-Framework/AdaptixC2","1","0","#filehash","N/A","10","10","255","61","2025-03-01T11:10:30Z","2024-08-21T18:07:05Z"
