"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* Persist General *.dll*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","0","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"* Persist Tasksch *.dll*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","0","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"* Persist TreatAs *.dll*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","0","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"*.exe Search Find-Persist*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","0","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"*/COM-Hunter.csproj*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","1","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"*/COM-Hunter.exe*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","1","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"*/COM-Hunter.git*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","1","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"*/COM-Hunter.sln*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","1","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"*\COM-Hunter.csproj*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","0","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"*\COM-Hunter.exe*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","0","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"*\COM-Hunter.sln*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","0","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"*09323E4D-BE0F-452A-9CA8-B07D2CFA9804*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","0","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"*COM-Hunter_v*.zip*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","1","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"*COM-Hunter-main*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","1","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
"*nickvourd/COM-Hunter*","offensive_tool_keyword","COM-Hunter","COM-hunter is a COM Hijacking persistnce tool written in C#","T1122 - T1055.012","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/nickvourd/COM-Hunter","1","1","N/A","10","3","217","39","2023-09-06T09:48:55Z","2022-05-26T19:34:59Z"
