"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* --am-si-bypass=*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","0","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"* --reflective-injection *","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","0","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"* --wldp-bypass=*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","0","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*/CheeseTools.git*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","1","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*0DD419E5-D7B3-4360-874E-5838A7519355*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","0","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*36F9C306-5F45-4946-A259-610C05BD90DF*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","0","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*A8FE1F5C-6B2A-4417-907F-4F6EDE9C15A3*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","0","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*AmsiBypass.cs*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","1","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*AS 'Login that can be impersonated'*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","0","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*as 'Owner that can be impersonated'*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","0","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*C:\Users\Public\perm.txt*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","0","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*C:\Users\Public\test.txt*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","0","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*C526B877-6AFF-413C-BC03-1837FB63BC22*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","0","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*CD3578F6-01B7-48C9-9140-1AFA44B3A7C0*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","0","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*CheeseDCOM.exe*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","1","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*CheeseExec.csproj*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","1","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*CheeseExec.exe*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","1","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*CheesePS.csproj*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","1","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*CheesePS.exe*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","1","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*CheeseRDP.exe*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","1","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*CheeseSQL.exe*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","1","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*CheeseTools.sln*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","1","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*CheeseTools-master*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","1","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*klezVirus/CheeseTools*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","1","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
"*SELECT SYSTEM_USER as 'Logged in as'* CURRENT_USER as 'Mapped as'*","offensive_tool_keyword","CheeseTools","tools for Lateral Movement/Code Execution","T1021.006 - T1059.003 - T1105","TA0008 - TA0002","N/A","N/A","Lateral Movement - Sniffing & Spoofing","https://github.com/klezVirus/CheeseTools","1","0","N/A","10","7","656","139","2021-08-17T20:22:56Z","2020-08-24T01:28:12Z"
