"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*\adprinterpipe*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AnyDesk (1).exe*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AnyDesk.exe*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AnyDesk\connection_trace.txt*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\anydesk\printer_driver*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AnyDesk\service.conf*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AnyDeskPrintDriver.cat*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\anydeskprintdriver.inf*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AppData\Roaming\AnyDesk\system.conf*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AppData\Roaming\AnyDesk\user.conf*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\Prefetch\ANYDESK.EXE*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*0DBF152DEAF0B981A8A938D53F769DB8*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage - compromised certificate (rumor) - https://anydesk.com/en/changelog/windows","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","compromised certificate","8","8","N/A","N/A","N/A","N/A"
"*9CD1DDB78ED05282353B20CDFE8FA0A4FB6C1ECE*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage - compromised certificate (rumor) - https://anydesk.com/en/changelog/windows","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","compromised certificate","8","8","N/A","N/A","N/A","N/A"
"*9D7620A4CEBA92370E8828B3CB1007AEFF63AB36A2CBE5F044FDDE14ABAB1EBF*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage - compromised certificate (rumor) - https://anydesk.com/en/changelog/windows","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","compromised certificate","8","8","N/A","N/A","N/A","N/A"
"*AnyDesk Software GmbH*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","company name - risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*anydesk.exe --set-password*","N/A","greyware_tool_keyword","anydesk","setting the AnyDesk service password manually","N/A","N/A","N/A","N/A","RMM","https://thedfirreport.com/2023/04/03/malicious-iso-file-leads-to-domain-wide-ransomware/","1","0","N/A","5","10","N/A","N/A","N/A","N/A"
"*boot.net.anydesk.com*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","1","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*C:\Program Files (x86)\AnyDesk*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*Desktop\AnyDesk.lnk*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*discordapp.com/attachments/*/AnyDesk.exe*","N/A","offensive_tool_keyword","anydesk","Fake Anydesk distributed by discord - mars stealer","T1566 T1587","N/A","N/A","N/A","Malware","https://www.virustotal.com/gui/url/f83616f0f9cd2337ed40e22b0a675a99d58edf004b31645f56f28f020f5e4f46/detection","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"*HKCR\.anydesk\*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*relay-*.net.anydesk.com*","N/A","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","1","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
