"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/HInvoke.cs*","N/A","offensive_tool_keyword","NixImports","A .NET malware loader using API-Hashing to evade static analysis","T1055.012 - T1562.001 - T1140","TA0005 - TA0003 - TA0040","N/A","N/A","Defense Evasion - Execution","https://github.com/dr4k0nia/NixImports","1","1","N/A","N/A","2","190","24","2023-05-30T14:14:21Z","2023-05-22T18:32:01Z"
"*\Loader\Loader.csproj*","N/A","offensive_tool_keyword","NixImports","A .NET malware loader using API-Hashing to evade static analysis","T1055.012 - T1562.001 - T1140","TA0005 - TA0003 - TA0040","N/A","N/A","Defense Evasion - Execution","https://github.com/dr4k0nia/NixImports","1","1","N/A","N/A","2","190","24","2023-05-30T14:14:21Z","2023-05-22T18:32:01Z"
"*dr4k0nia/NixImports*","N/A","offensive_tool_keyword","NixImports","A .NET malware loader using API-Hashing to evade static analysis","T1055.012 - T1562.001 - T1140","TA0005 - TA0003 - TA0040","N/A","N/A","Defense Evasion - Execution","https://github.com/dr4k0nia/NixImports","1","1","N/A","N/A","2","190","24","2023-05-30T14:14:21Z","2023-05-22T18:32:01Z"
"*HInvokeHashGen.cs*","N/A","offensive_tool_keyword","NixImports","A .NET malware loader using API-Hashing to evade static analysis","T1055.012 - T1562.001 - T1140","TA0005 - TA0003 - TA0040","N/A","N/A","Defense Evasion - Execution","https://github.com/dr4k0nia/NixImports","1","1","N/A","N/A","2","190","24","2023-05-30T14:14:21Z","2023-05-22T18:32:01Z"
"*methodHash*528465795*","N/A","offensive_tool_keyword","NixImports","A .NET malware loader using API-Hashing to evade static analysis","T1055.012 - T1562.001 - T1140","TA0005 - TA0003 - TA0040","N/A","N/A","Defense Evasion - Execution","https://github.com/dr4k0nia/NixImports","1","0","N/A","N/A","2","190","24","2023-05-30T14:14:21Z","2023-05-22T18:32:01Z"
"*NixImports by dr4k0nia*","N/A","offensive_tool_keyword","NixImports","A .NET malware loader using API-Hashing to evade static analysis","T1055.012 - T1562.001 - T1140","TA0005 - TA0003 - TA0040","N/A","N/A","Defense Evasion - Execution","https://github.com/dr4k0nia/NixImports","1","0","N/A","N/A","2","190","24","2023-05-30T14:14:21Z","2023-05-22T18:32:01Z"
"*NixImports.csproj*","N/A","offensive_tool_keyword","NixImports","A .NET malware loader using API-Hashing to evade static analysis","T1055.012 - T1562.001 - T1140","TA0005 - TA0003 - TA0040","N/A","N/A","Defense Evasion - Execution","https://github.com/dr4k0nia/NixImports","1","1","N/A","N/A","2","190","24","2023-05-30T14:14:21Z","2023-05-22T18:32:01Z"
"*NixImports.exe*","N/A","offensive_tool_keyword","NixImports","A .NET malware loader using API-Hashing to evade static analysis","T1055.012 - T1562.001 - T1140","TA0005 - TA0003 - TA0040","N/A","N/A","Defense Evasion - Execution","https://github.com/dr4k0nia/NixImports","1","1","N/A","N/A","2","190","24","2023-05-30T14:14:21Z","2023-05-22T18:32:01Z"
"*NixImports.git*","N/A","offensive_tool_keyword","NixImports","A .NET malware loader using API-Hashing to evade static analysis","T1055.012 - T1562.001 - T1140","TA0005 - TA0003 - TA0040","N/A","N/A","Defense Evasion - Execution","https://github.com/dr4k0nia/NixImports","1","1","N/A","N/A","2","190","24","2023-05-30T14:14:21Z","2023-05-22T18:32:01Z"
"*NixImports.sln*","N/A","offensive_tool_keyword","NixImports","A .NET malware loader using API-Hashing to evade static analysis","T1055.012 - T1562.001 - T1140","TA0005 - TA0003 - TA0040","N/A","N/A","Defense Evasion - Execution","https://github.com/dr4k0nia/NixImports","1","1","N/A","N/A","2","190","24","2023-05-30T14:14:21Z","2023-05-22T18:32:01Z"
"*using NixImports*","N/A","offensive_tool_keyword","NixImports","A .NET malware loader using API-Hashing to evade static analysis","T1055.012 - T1562.001 - T1140","TA0005 - TA0003 - TA0040","N/A","N/A","Defense Evasion - Execution","https://github.com/dr4k0nia/NixImports","1","0","N/A","N/A","2","190","24","2023-05-30T14:14:21Z","2023-05-22T18:32:01Z"
