"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","Unnamed: 20"
"*netsh advfirewall firewall show rule name=all*",".{0,1000}netsh\sadvfirewall\sfirewall\sshow\srule\sname\=all.{0,1000}","greyware_tool_keyword","netsh","gathering information about network configurations","T1016 - T1089","TA0007 - TA0009","N/A","N/A","Discovery","N/A","1","0","greyware tool - risks of False positive !","6","8","N/A","N/A","N/A","N/A",""
"*NetSh Advfirewall set allprofiles state off*",".{0,1000}NetSh\sAdvfirewall\sset\sallprofiles\sstate\soff.{0,1000}","greyware_tool_keyword","netsh","Disable Windows Firewall","T1562.004 - T1055.001","TA0005","N/A","N/A","Defense Evasion","N/A","1","0","greyware tool - risks of False positive !","10","10","N/A","N/A","N/A","N/A",""
"*netsh advfirewall set allprofiles state off*",".{0,1000}netsh\sadvfirewall\sset\sallprofiles\sstate\soff.{0,1000}","greyware_tool_keyword","netsh","script to dismantle complete windows defender protection and even bypass tamper protection  - Disable Windows-Defender Permanently.","T1562.001","TA0005","N/A","N/A","Defense Evasion","https://github.com/swagkarna/Defeat-Defender-V1.2.0","1","0","N/A","10","10","1363","299","2023-10-20T17:55:09Z","2020-12-10T07:22:06Z",""
"*netsh firewall add allowedprogram ""C:\Users\*\AppData\*.exe"" ""*.exe"" ENABLE*",".{0,1000}netsh\sfirewall\sadd\sallowedprogram\s\""C\:\\Users\\.{0,1000}\\AppData\\.{0,1000}\.exe\""\s\"".{0,1000}\.exe\""\sENABLE.{0,1000}","greyware_tool_keyword","netsh","adding a executable in user appdata folder to the allowed programs","T1562.004","TA0005 ","N/A","N/A","Defense Evasion","https://tria.ge/231006-ydmxjsfe5s/behavioral1/analog?proc=66","1","0","N/A","3","8","N/A","N/A","N/A","N/A",""
"*netsh firewall set opmode disable*",".{0,1000}netsh\sfirewall\sset\sopmode\sdisable.{0,1000}","greyware_tool_keyword","netsh","Disable Windows Firewall","T1562.004 - T1059.005","TA0005 - TA0040","N/A","N/A","Defense Evasion","N/A","1","0","N/A","6","10","N/A","N/A","N/A","N/A",""
"*netsh interface portproxy add v4tov4 listenport=* connectport=* connectaddress=*",".{0,1000}netsh\sinterface\sportproxy\sadd\sv4tov4\slistenport\=.{0,1000}\sconnectport\=.{0,1000}\sconnectaddress\=.{0,1000}","greyware_tool_keyword","netsh","commands from wmiexec2.0 -  is the same wmiexec that everyone knows and loves (debatable). This 2.0 version is obfuscated to avoid well known signatures from various AV engines.","T1047 - T1027 - T1059","TA0005 - TA0002","N/A","N/A","Defense Evasion","https://github.com/ice-wzl/wmiexec2","1","0","N/A","9","1","19","1","2023-12-27T03:54:26Z","2023-02-07T22:10:08Z",""
"*netsh interface portproxy add v4tov4*listenaddress=* listenport=*connectaddress=*connectport*",".{0,1000}netsh\sinterface\sportproxy\sadd\sv4tov4.{0,1000}listenaddress\=.{0,1000}\slistenport\=.{0,1000}connectaddress\=.{0,1000}connectport.{0,1000}","greyware_tool_keyword","netsh","The actor has used the following commands to enable port forwarding [T1090] on the host","T1090.003 - T1123","TA0005 - TA0002","N/A","Volt Typhoon","Credential Access","https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF","1","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"*netsh interface portproxy delete v4tov4 listenaddress=0.0.0.0 listenport=*",".{0,1000}netsh\sinterface\sportproxy\sdelete\sv4tov4\slistenaddress\=0\.0\.0\.0\slistenport\=.{0,1000}","greyware_tool_keyword","netsh","attempt to remove port proxy configurations","T1562.004","TA0005 ","N/A","N/A","Defense Evasion","https://media.defense.gov/2024/Feb/07/2003389936/-1/-1/0/JOINT-GUIDANCE-IDENTIFYING-AND-MITIGATING-LOTL.PDF","1","0","N/A","9","10","N/A","N/A","N/A","N/A",""
"*netsh interface portproxy delete v4tov4 listenport=*",".{0,1000}netsh\sinterface\sportproxy\sdelete\sv4tov4\slistenport\=.{0,1000}","greyware_tool_keyword","netsh","commands from wmiexec2.0 -  is the same wmiexec that everyone knows and loves (debatable). This 2.0 version is obfuscated to avoid well known signatures from various AV engines.","T1047 - T1027 - T1059","TA0005 - TA0002","N/A","N/A","Defense Evasion","https://github.com/ice-wzl/wmiexec2","1","0","N/A","9","1","19","1","2023-12-27T03:54:26Z","2023-02-07T22:10:08Z",""
"*netsh interface portproxy show v4tov4*",".{0,1000}netsh\sinterface\sportproxy\sshow\sv4tov4.{0,1000}","greyware_tool_keyword","netsh","commands from wmiexec2.0 -  is the same wmiexec that everyone knows and loves (debatable). This 2.0 version is obfuscated to avoid well known signatures from various AV engines.","T1047 - T1027 - T1059","TA0005 - TA0002","N/A","N/A","Defense Evasion","https://github.com/ice-wzl/wmiexec2","1","0","N/A","9","1","19","1","2023-12-27T03:54:26Z","2023-02-07T22:10:08Z",""
