"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*.exe -l * -c {B91D5831-B1BD-4608-8198-D72E155020F7}*","N/A","offensive_tool_keyword","JuicyPotatoNG","Another Windows Local Privilege Escalation from Service Account to System","T1055.002 - T1078.003 - T1070.004","TA0005 - TA0004 - TA0002","N/A","N/A","Privilege Escalation","https://github.com/antonioCoco/JuicyPotatoNG","1","0","N/A","10","8","737","92","2022-11-12T01:48:39Z","2022-09-21T17:08:35Z"
"*.exe -l * -c {F7FD3FD6-9994-452D-8DA7-9A8FD87AEEF4} -a*","N/A","offensive_tool_keyword","JuicyPotatoNG","Another Windows Local Privilege Escalation from Service Account to System","T1055.002 - T1078.003 - T1070.004","TA0005 - TA0004 - TA0002","N/A","N/A","Privilege Escalation","https://github.com/antonioCoco/JuicyPotatoNG","1","0","N/A","10","8","737","92","2022-11-12T01:48:39Z","2022-09-21T17:08:35Z"
"*/JuicyPotatoNG.git*","N/A","offensive_tool_keyword","JuicyPotatoNG","Another Windows Local Privilege Escalation from Service Account to System","T1055.002 - T1078.003 - T1070.004","TA0005 - TA0004 - TA0002","N/A","N/A","Privilege Escalation","https://github.com/antonioCoco/JuicyPotatoNG","1","1","N/A","10","8","737","92","2022-11-12T01:48:39Z","2022-09-21T17:08:35Z"
"*\JuicyPotatoNG*","N/A","offensive_tool_keyword","JuicyPotatoNG","Another Windows Local Privilege Escalation from Service Account to System","T1055.002 - T1078.003 - T1070.004","TA0005 - TA0004 - TA0002","N/A","N/A","Privilege Escalation","https://github.com/antonioCoco/JuicyPotatoNG","1","0","N/A","10","8","737","92","2022-11-12T01:48:39Z","2022-09-21T17:08:35Z"
"*261f880e-4bee-428d-9f64-c29292002c19*","N/A","offensive_tool_keyword","JuicyPotatoNG","Another Windows Local Privilege Escalation from Service Account to System","T1055.002 - T1078.003 - T1070.004","TA0005 - TA0004 - TA0002","N/A","N/A","Privilege Escalation","https://github.com/antonioCoco/JuicyPotatoNG","1","0","N/A","10","8","737","92","2022-11-12T01:48:39Z","2022-09-21T17:08:35Z"
"*antonioCoco/JuicyPotatoNG*","N/A","offensive_tool_keyword","JuicyPotatoNG","Another Windows Local Privilege Escalation from Service Account to System","T1055.002 - T1078.003 - T1070.004","TA0005 - TA0004 - TA0002","N/A","N/A","Privilege Escalation","https://github.com/antonioCoco/JuicyPotatoNG","1","1","N/A","10","8","737","92","2022-11-12T01:48:39Z","2022-09-21T17:08:35Z"
"*BruteforceCLSIDs.*","N/A","offensive_tool_keyword","JuicyPotatoNG","Another Windows Local Privilege Escalation from Service Account to System","T1055.002 - T1078.003 - T1070.004","TA0005 - TA0004 - TA0002","N/A","N/A","Privilege Escalation","https://github.com/antonioCoco/JuicyPotatoNG","1","1","N/A","10","8","737","92","2022-11-12T01:48:39Z","2022-09-21T17:08:35Z"
"*C73A4893-A5D1-44C8-900C-7B8850BBD2EC*","N/A","offensive_tool_keyword","JuicyPotatoNG","Another Windows Local Privilege Escalation from Service Account to System","T1055.002 - T1078.003 - T1070.004","TA0005 - TA0004 - TA0002","N/A","N/A","Privilege Escalation","https://github.com/antonioCoco/JuicyPotatoNG","1","0","N/A","10","8","737","92","2022-11-12T01:48:39Z","2022-09-21T17:08:35Z"
"*JuicyPotatoNG.cpp*","N/A","offensive_tool_keyword","JuicyPotatoNG","Another Windows Local Privilege Escalation from Service Account to System","T1055.002 - T1078.003 - T1070.004","TA0005 - TA0004 - TA0002","N/A","N/A","Privilege Escalation","https://github.com/antonioCoco/JuicyPotatoNG","1","1","N/A","10","8","737","92","2022-11-12T01:48:39Z","2022-09-21T17:08:35Z"
"*JuicyPotatoNG.exe*","N/A","offensive_tool_keyword","JuicyPotatoNG","Another Windows Local Privilege Escalation from Service Account to System","T1055.002 - T1078.003 - T1070.004","TA0005 - TA0004 - TA0002","N/A","N/A","Privilege Escalation","https://github.com/antonioCoco/JuicyPotatoNG","1","1","N/A","10","8","737","92","2022-11-12T01:48:39Z","2022-09-21T17:08:35Z"
