"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* inceptor.*dotnet*",".{0,1000}\sinceptor\..{0,1000}dotnet.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1027 - T1055 - T1070 - T1112 - T1140","TA0005 - TA0006 - TA0008","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"* inceptor.py*",".{0,1000}\sinceptor\.py.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1027 - T1055 - T1070 - T1112 - T1140","TA0005 - TA0006 - TA0008","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"* inceptor.py*",".{0,1000}\sinceptor\.py.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"* inceptor.spec*",".{0,1000}\sinceptor\.spec.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"* --obfuscate *",".{0,1000}\s\-\-obfuscate\s.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"* --pinject *",".{0,1000}\s\-\-pinject\s.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"* --sign-domain *",".{0,1000}\s\-\-sign\-domain\s.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"* --sign-steal *",".{0,1000}\s\-\-sign\-steal\s.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"* -t donut *",".{0,1000}\s\-t\sdonut\s.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"* -t pe2sh*",".{0,1000}\s\-t\spe2sh.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"* --transformer donut*",".{0,1000}\s\-\-transformer\sdonut.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"* --transformer Loader*",".{0,1000}\s\-\-transformer\sLoader.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"* --transformer pe2sh*",".{0,1000}\s\-\-transformer\spe2sh.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"* --transformer sRDI*",".{0,1000}\s\-\-transformer\ssRDI.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"*./inceptor.py*",".{0,1000}\.\/inceptor\.py.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","0","#linux","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"*/csharp/process_injection/*",".{0,1000}\/csharp\/process_injection\/.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1027 - T1055 - T1070 - T1112 - T1140","TA0005 - TA0006 - TA0008","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","1","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"*/inceptor.git*",".{0,1000}\/inceptor\.git.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1027 - T1055 - T1070 - T1112 - T1140","TA0005 - TA0006 - TA0008","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","1","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"*/inceptor.git*",".{0,1000}\/inceptor\.git.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","1","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"*/Obfuscator.py*",".{0,1000}\/Obfuscator\.py.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1027 - T1055 - T1070 - T1112 - T1140","TA0005 - TA0006 - TA0008","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","1","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
"*/Obfuscator.py*",".{0,1000}\/Obfuscator\.py.{0,1000}","offensive_tool_keyword","inceptor","Template-Driven AV/EDR Evasion Framework","T1562.001 - T1059.003 - T1027.002 - T1070.004","TA0005 - TA0040","N/A","N/A","Defense Evasion","https://github.com/klezVirus/inceptor","1","1","N/A","N/A","10","10","1622","268","2023-11-03T09:33:21Z","2021-08-02T15:35:57Z"
