"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"*/gato_x-0.5.2.tar.gz*",".{0,1000}\/gato_x\-0\.5\.2\.tar\.gz.{0,1000}","offensive_tool_keyword","Gato-X","automate advanced enumeration and exploitation techniques against GitHub repositories and organizations","T1190 - T1083 - T1588 - T1587","TA0001 - TA0007 - TA0005","N/A","N/A","Reconnaissance","https://github.com/adnanekhan/Gato-X","1","1","N/A","N/A","7","3","270","35","2025-04-21T17:57:09Z","2024-01-27T18:55:16Z","7334"
"*/gato_x-0.5.3.tar.gz*",".{0,1000}\/gato_x\-0\.5\.3\.tar\.gz.{0,1000}","offensive_tool_keyword","Gato-X","automate advanced enumeration and exploitation techniques against GitHub repositories and organizations","T1190 - T1083 - T1588 - T1587","TA0001 - TA0007 - TA0005","N/A","N/A","Reconnaissance","https://github.com/adnanekhan/Gato-X","1","1","N/A","N/A","7","3","270","35","2025-04-21T17:57:09Z","2024-01-27T18:55:16Z","7335"
"*/Gato-X.git*",".{0,1000}\/Gato\-X\.git.{0,1000}","offensive_tool_keyword","Gato-X","automate advanced enumeration and exploitation techniques against GitHub repositories and organizations","T1190 - T1083 - T1588 - T1587","TA0001 - TA0007 - TA0005","N/A","N/A","Reconnaissance","https://github.com/adnanekhan/Gato-X","1","1","N/A","N/A","7","3","270","35","2025-04-21T17:57:09Z","2024-01-27T18:55:16Z","7336"
"*018a8c1acc14adf544c2d05b066556e7b67e3756e30e928a4ff79cde74229086*",".{0,1000}018a8c1acc14adf544c2d05b066556e7b67e3756e30e928a4ff79cde74229086.{0,1000}","offensive_tool_keyword","Gato-X","automate advanced enumeration and exploitation techniques against GitHub repositories and organizations","T1190 - T1083 - T1588 - T1587","TA0001 - TA0007 - TA0005","N/A","N/A","Reconnaissance","https://github.com/adnanekhan/Gato-X","1","0","#filehash","N/A","7","3","270","35","2025-04-21T17:57:09Z","2024-01-27T18:55:16Z","20739"
"*061425625f0c923443e3329439f21d03796f26b41c1b0e3628a2ea564ff733e8*",".{0,1000}061425625f0c923443e3329439f21d03796f26b41c1b0e3628a2ea564ff733e8.{0,1000}","offensive_tool_keyword","Gato-X","automate advanced enumeration and exploitation techniques against GitHub repositories and organizations","T1190 - T1083 - T1588 - T1587","TA0001 - TA0007 - TA0005","N/A","N/A","Reconnaissance","https://github.com/adnanekhan/Gato-X","1","0","#filehash","N/A","7","3","270","35","2025-04-21T17:57:09Z","2024-01-27T18:55:16Z","21093"
"*2de627c776ab1a97d9ea2b3b16f63ef060cf4e0367f03861c85fec6106b2a7af*",".{0,1000}2de627c776ab1a97d9ea2b3b16f63ef060cf4e0367f03861c85fec6106b2a7af.{0,1000}","offensive_tool_keyword","Gato-X","automate advanced enumeration and exploitation techniques against GitHub repositories and organizations","T1190 - T1083 - T1588 - T1587","TA0001 - TA0007 - TA0005","N/A","N/A","Reconnaissance","https://github.com/adnanekhan/Gato-X","1","0","#filehash","N/A","7","3","270","35","2025-04-21T17:57:09Z","2024-01-27T18:55:16Z","23968"
"*58993d929685b240f375125ce5ad0540f57f6eed29b6feebaff194c061119052*",".{0,1000}58993d929685b240f375125ce5ad0540f57f6eed29b6feebaff194c061119052.{0,1000}","offensive_tool_keyword","Gato-X","automate advanced enumeration and exploitation techniques against GitHub repositories and organizations","T1190 - T1083 - T1588 - T1587","TA0001 - TA0007 - TA0005","N/A","N/A","Reconnaissance","https://github.com/adnanekhan/Gato-X","1","0","#filehash","N/A","7","3","270","35","2025-04-21T17:57:09Z","2024-01-27T18:55:16Z","27132"
"*5905bf979bb3d714c2641502161d807723fc79cfc9b58cbe2a95882f12623778*",".{0,1000}5905bf979bb3d714c2641502161d807723fc79cfc9b58cbe2a95882f12623778.{0,1000}","offensive_tool_keyword","Gato-X","automate advanced enumeration and exploitation techniques against GitHub repositories and organizations","T1190 - T1083 - T1588 - T1587","TA0001 - TA0007 - TA0005","N/A","N/A","Reconnaissance","https://github.com/adnanekhan/Gato-X","1","0","#filehash","N/A","7","3","270","35","2025-04-21T17:57:09Z","2024-01-27T18:55:16Z","27168"
"*76e94a8b2541bd3c626fa5ac014d78665088f69c3b95925ea4211e68827fa1c0*",".{0,1000}76e94a8b2541bd3c626fa5ac014d78665088f69c3b95925ea4211e68827fa1c0.{0,1000}","offensive_tool_keyword","Gato-X","automate advanced enumeration and exploitation techniques against GitHub repositories and organizations","T1190 - T1083 - T1588 - T1587","TA0001 - TA0007 - TA0005","N/A","N/A","Reconnaissance","https://github.com/adnanekhan/Gato-X","1","0","#filehash","N/A","7","3","270","35","2025-04-21T17:57:09Z","2024-01-27T18:55:16Z","29205"
"*a3cb4dc05b5c42059a88e8bce99878c5228bb139b7bd3e2b36588d9ce4968141*",".{0,1000}a3cb4dc05b5c42059a88e8bce99878c5228bb139b7bd3e2b36588d9ce4968141.{0,1000}","offensive_tool_keyword","Gato-X","automate advanced enumeration and exploitation techniques against GitHub repositories and organizations","T1190 - T1083 - T1588 - T1587","TA0001 - TA0007 - TA0005","N/A","N/A","Reconnaissance","https://github.com/adnanekhan/Gato-X","1","0","#filehash","N/A","7","3","270","35","2025-04-21T17:57:09Z","2024-01-27T18:55:16Z","32411"
"*a5789291ca04f1490a7b9478a9b8e1c37b594a59a101fd63d17a3eea11d04cd8*",".{0,1000}a5789291ca04f1490a7b9478a9b8e1c37b594a59a101fd63d17a3eea11d04cd8.{0,1000}","offensive_tool_keyword","Gato-X","automate advanced enumeration and exploitation techniques against GitHub repositories and organizations","T1190 - T1083 - T1588 - T1587","TA0001 - TA0007 - TA0005","N/A","N/A","Reconnaissance","https://github.com/adnanekhan/Gato-X","1","0","#filehash","N/A","7","3","270","35","2025-04-21T17:57:09Z","2024-01-27T18:55:16Z","32534"
"*adnanekhan/Gato-X*",".{0,1000}adnanekhan\/Gato\-X.{0,1000}","offensive_tool_keyword","Gato-X","automate advanced enumeration and exploitation techniques against GitHub repositories and organizations","T1190 - T1083 - T1588 - T1587","TA0001 - TA0007 - TA0005","N/A","N/A","Reconnaissance","https://github.com/adnanekhan/Gato-X","1","1","N/A","N/A","7","3","270","35","2025-04-21T17:57:09Z","2024-01-27T18:55:16Z","33469"
