"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/returnvar/wce/*","offensive_tool_keyword","wce","Windows Credentials Editor","T1003.002 - T1003.003 - T1558.001 - T1558.003 - T1110 - T1055.001","TA0006 - TA0005 - TA0002","N/A","N/A","Credential Access","https://www.kali.org/tools/wce/","1","1","N/A","8","4","N/A","N/A","N/A","N/A"
"*/share/windows-resources/wce*","offensive_tool_keyword","wce","Windows Credentials Editor","T1003.002 - T1003.003 - T1558.001 - T1558.003 - T1110 - T1055.001","TA0006 - TA0005 - TA0002","N/A","N/A","Credential Access","https://www.kali.org/tools/wce/","1","0","N/A","8","4","N/A","N/A","N/A","N/A"
"*/wce32.exe*","offensive_tool_keyword","wce","Windows Credentials Editor","T1003.002 - T1003.003 - T1558.001 - T1558.003 - T1110 - T1055.001","TA0006 - TA0005 - TA0002","N/A","N/A","Credential Access","https://www.kali.org/tools/wce/","1","1","N/A","8","4","N/A","N/A","N/A","N/A"
"*/wce64.exe*","offensive_tool_keyword","wce","Windows Credentials Editor","T1003.002 - T1003.003 - T1558.001 - T1558.003 - T1110 - T1055.001","TA0006 - TA0005 - TA0002","N/A","N/A","Credential Access","https://www.kali.org/tools/wce/","1","1","N/A","8","4","N/A","N/A","N/A","N/A"
"*/wce-beta.zip*","offensive_tool_keyword","wce","Windows Credentials Editor","T1003.002 - T1003.003 - T1558.001 - T1558.003 - T1110 - T1055.001","TA0006 - TA0005 - TA0002","N/A","N/A","Credential Access","https://www.kali.org/tools/wce/","1","1","N/A","8","4","N/A","N/A","N/A","N/A"
"*\wce32.exe*","offensive_tool_keyword","wce","Windows Credentials Editor","T1003.002 - T1003.003 - T1558.001 - T1558.003 - T1110 - T1055.001","TA0006 - TA0005 - TA0002","N/A","N/A","Credential Access","https://www.kali.org/tools/wce/","1","0","N/A","8","4","N/A","N/A","N/A","N/A"
"*\wce64.exe*","offensive_tool_keyword","wce","Windows Credentials Editor","T1003.002 - T1003.003 - T1558.001 - T1558.003 - T1110 - T1055.001","TA0006 - TA0005 - TA0002","N/A","N/A","Credential Access","https://www.kali.org/tools/wce/","1","0","N/A","8","4","N/A","N/A","N/A","N/A"
"*\wce-beta.zip*","offensive_tool_keyword","wce","Windows Credentials Editor","T1003.002 - T1003.003 - T1558.001 - T1558.003 - T1110 - T1055.001","TA0006 - TA0005 - TA0002","N/A","N/A","Credential Access","https://www.kali.org/tools/wce/","1","1","N/A","8","4","N/A","N/A","N/A","N/A"
"*apt install wce*","offensive_tool_keyword","wce","Windows Credentials Editor","T1003.002 - T1003.003 - T1558.001 - T1558.003 - T1110 - T1055.001","TA0006 - TA0005 - TA0002","N/A","N/A","Credential Access","https://www.kali.org/tools/wce/","1","0","N/A","8","4","N/A","N/A","N/A","N/A"
"*wce -i 3e5 -s *","offensive_tool_keyword","wce","Windows Credentials Editor","T1003.002 - T1003.003 - T1558.001 - T1558.003 - T1110 - T1055.001","TA0006 - TA0005 - TA0002","N/A","N/A","Credential Access","https://www.kali.org/tools/wce/","1","0","N/A","8","4","N/A","N/A","N/A","N/A"
"*wce*getlsasrvaddr.exe*","offensive_tool_keyword","wce","Windows Credentials Editor","T1003.002 - T1003.003 - T1558.001 - T1558.003 - T1110 - T1055.001","TA0006 - TA0005 - TA0002","N/A","N/A","Credential Access","https://www.kali.org/tools/wce/","1","1","N/A","8","4","N/A","N/A","N/A","N/A"
"*wce-master.zip*","offensive_tool_keyword","wce","Windows Credentials Editor","T1003.002 - T1003.003 - T1558.001 - T1558.003 - T1110 - T1055.001","TA0006 - TA0005 - TA0002","N/A","N/A","Credential Access","https://www.kali.org/tools/wce/","1","1","N/A","8","4","N/A","N/A","N/A","N/A"
"*wce-universal.exe*","offensive_tool_keyword","wce","Windows Credentials Editor","T1003.002 - T1003.003 - T1558.001 - T1558.003 - T1110 - T1055.001","TA0006 - TA0005 - TA0002","N/A","N/A","Credential Access","https://www.kali.org/tools/wce/","1","1","N/A","8","4","N/A","N/A","N/A","N/A"
