"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*cmd* wevtutil.exe cl *",".{0,1000}cmd.{0,1000}\swevtutil\.exe\scl\s.{0,1000}","greyware_tool_keyword","wevtutil","adversaries can delete specific event logs or clear their contents. erasing potentially valuable information that could aid in detection. incident response. or forensic investigations. This tactic aims to hinder forensic analysis efforts and make it more challenging for defenders to reconstruct the timeline of events or identify malicious activities.","T1070.004 - T1562.001","TA0005 - TA0040","N/A","N/A","Defense Evasion","N/A","1","0","N/A","greyware tool - risks of False positive !","10","10","N/A","N/A","N/A","N/A"
"*for /F ""tokens=*"" %%G in ('wevtutil.exe el') DO (call :do_clear ""%%G"")*",".{0,1000}for\s\/F\s\""tokens\=.{0,1000}\""\s\%\%G\sin\s\(\'wevtutil\.exe\sel\'\)\sDO\s\(call\s\:do_clear\s\""\%\%G\""\).{0,1000}","greyware_tool_keyword","wevtutil","loops through event logs using wevtutil.exe to prepare to clear them","T1070.001","TA0005","N/A","N/A","Defense Evasion","https://github.com/CCob/Shwmae","1","0","N/A","N/A","10","2","126","10","2024-10-04T22:30:48Z","2024-03-21T15:05:03Z"
"*wevtutil cl *",".{0,1000}wevtutil\scl\s.{0,1000}","greyware_tool_keyword","wevtutil","adversaries can delete specific event logs or clear their contents. erasing potentially valuable information that could aid in detection. incident response. or forensic investigations. This tactic aims to hinder forensic analysis efforts and make it more challenging for defenders to reconstruct the timeline of events or identify malicious activities.","T1070.004 - T1562.001","TA0005 - TA0040","N/A","N/A","Defense Evasion","N/A","1","0","N/A","greyware tool - risks of False positive !","10","10","N/A","N/A","N/A","N/A"
"*wevtutil clear-log*",".{0,1000}wevtutil\sclear\-log.{0,1000}","greyware_tool_keyword","wevtutil","adversaries can delete specific event logs or clear their contents. erasing potentially valuable information that could aid in detection. incident response. or forensic investigations. This tactic aims to hinder forensic analysis efforts and make it more challenging for defenders to reconstruct the timeline of events or identify malicious activities.","T1070.004 - T1562.001","TA0005 - TA0040","N/A","N/A","Defense Evasion","N/A","1","0","N/A","greyware tool - risks of False positive !","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Storage-ATAPort/*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Storage\-ATAPort\/.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Storage-ClassPnP/A*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Storage\-ClassPnP\/A.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Storage-Disk/*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Storage\-Disk\/.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-StorageManagement/*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-StorageManagement\/.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-StorageSpaces-Driver/*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-StorageSpaces\-Driver\/.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-StorageSpaces-ManagementAgent/WHC*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-StorageSpaces\-ManagementAgent\/WHC.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-StorageSpaces-SpaceManager/*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-StorageSpaces\-SpaceManager\/.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Storage-Storport/*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Storage\-Storport\/.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Storage-Tiering/Admin*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Storage\-Tiering\/Admin.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Storage-Tiering-IoHeat/Heat*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Storage\-Tiering\-IoHeat\/Heat.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Store/Operational*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Store\/Operational.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Subsys-Csr/Operational*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Subsys\-Csr\/Operational.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Subsys-SMSS/Operational*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Subsys\-SMSS\/Operational.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Superfetch/Main*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Superfetch\/Main.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Superfetch/PfApLog*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Superfetch\/PfApLog.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Superfetch/StoreLog*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Superfetch\/StoreLog.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Sysmon/Operational*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Sysmon\/Operational.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Sysprep/Analytic*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Sysprep\/Analytic.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-System-Profile-HardwareId/Diagnostic*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-System\-Profile\-HardwareId\/Diagnostic.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-SystemSettingsHandlers/Debug*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-SystemSettingsHandlers\/Debug.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-SystemSettingsThreshold/*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-SystemSettingsThreshold\/.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-TaskbarCPL/Diagnostic*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-TaskbarCPL\/Diagnostic.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-TaskScheduler/*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-TaskScheduler\/.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-TCPIP/*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-TCPIP\/.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-TerminalServices-*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-TerminalServices\-.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Tethering-Manager/Analytic*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Tethering\-Manager\/Analytic.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-Tethering-Station/Analytic*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-Tethering\-Station\/Analytic.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-ThemeCPL/Diagnostic*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-ThemeCPL\/Diagnostic.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
"*wevtutil* cl ""Microsoft-Windows-ThemeUI/Diagnostic*",".{0,1000}wevtutil.{0,1000}\scl\s\""Microsoft\-Windows\-ThemeUI\/Diagnostic.{0,1000}","greyware_tool_keyword","wevtutil","observed used by lslsass sample (dump active logon session password hashes from the lsass process (old tool for vista and older))","T1003.001","TA0006","N/A","APT1","Credential Access","https://www.virustotal.com/gui/file/b24ab1f8cb68547932dd8a5c81e9b2133763a7ddf48aa431456530c1340b939e/details","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A"
