"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/1/all_in_one.7z.torrent*","N/A","offensive_tool_keyword","weakpass","Weakpass collection of tools for bruteforce and hashcracking","T1110 - T1201","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/zzzteph/weakpass","1","1","N/A","10","4","329","36","2023-03-17T22:45:29Z","2021-08-29T13:07:37Z"
"*/1/all_in_one_p.7z*","N/A","offensive_tool_keyword","weakpass","Weakpass collection of tools for bruteforce and hashcracking","T1110 - T1201","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/zzzteph/weakpass","1","1","N/A","10","4","329","36","2023-03-17T22:45:29Z","2021-08-29T13:07:37Z"
"*/1/all_in_one_w.7z*","N/A","offensive_tool_keyword","weakpass","Weakpass collection of tools for bruteforce and hashcracking","T1110 - T1201","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/zzzteph/weakpass","1","1","N/A","10","4","329","36","2023-03-17T22:45:29Z","2021-08-29T13:07:37Z"
"*/dicassassin.7z*","N/A","offensive_tool_keyword","weakpass","Weakpass collection of tools for bruteforce and hashcracking","T1110 - T1201","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/zzzteph/weakpass","1","1","N/A","10","4","329","36","2023-03-17T22:45:29Z","2021-08-29T13:07:37Z"
"*/hashesorg2019.gz*","N/A","offensive_tool_keyword","weakpass","Weakpass collection of tools for bruteforce and hashcracking","T1110 - T1201","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/zzzteph/weakpass","1","1","N/A","10","4","329","36","2023-03-17T22:45:29Z","2021-08-29T13:07:37Z"
"*/weakpass.git*","N/A","offensive_tool_keyword","weakpass","Weakpass collection of tools for bruteforce and hashcracking","T1110 - T1201","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/zzzteph/weakpass","1","1","N/A","10","4","329","36","2023-03-17T22:45:29Z","2021-08-29T13:07:37Z"
"*/weakpass_2a.gz*","N/A","offensive_tool_keyword","weakpass","Weakpass collection of tools for bruteforce and hashcracking","T1110 - T1201","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/zzzteph/weakpass","1","1","N/A","10","4","329","36","2023-03-17T22:45:29Z","2021-08-29T13:07:37Z"
"*/weakpass_3a.7z*","N/A","offensive_tool_keyword","weakpass","Weakpass collection of tools for bruteforce and hashcracking","T1110 - T1201","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/zzzteph/weakpass","1","1","N/A","10","4","329","36","2023-03-17T22:45:29Z","2021-08-29T13:07:37Z"
"*\online_brute.gz*","N/A","offensive_tool_keyword","weakpass","Weakpass collection of tools for bruteforce and hashcracking","T1110 - T1201","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/zzzteph/weakpass","1","1","N/A","10","4","329","36","2023-03-17T22:45:29Z","2021-08-29T13:07:37Z"
"*cyclone.hashesorg.hashkiller.combined*","N/A","offensive_tool_keyword","weakpass","Weakpass collection of tools for bruteforce and hashcracking","T1110 - T1201","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/zzzteph/weakpass","1","1","N/A","10","4","329","36","2023-03-17T22:45:29Z","2021-08-29T13:07:37Z"
