"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* demon.x64.exe*","offensive_tool_keyword","havoc","Havoc is a modern and malleable post-exploitation command and control framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1027 - T1071-001 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001","TA0002 - TA0003","N/A","N/A","C2","https://github.com/HavocFramework/Havoc","1","0","N/A","10","10","5244","792","2023-12-05T01:17:14Z","2022-09-11T13:21:16Z"
"* havoc-client*","offensive_tool_keyword","havoc","Havoc is a modern and malleable post-exploitation command and control framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1027 - T1071-001 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001","TA0002 - TA0003","N/A","N/A","C2","https://github.com/HavocFramework/Havoc","1","0","N/A","10","10","5244","792","2023-12-05T01:17:14Z","2022-09-11T13:21:16Z"
"*./donut *.exe*","offensive_tool_keyword","havoc","Havoc is a modern and malleable post-exploitation command and control framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1027 - T1071-001 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001","TA0002 - TA0003","N/A","N/A","C2","https://github.com/HavocFramework/Havoc","1","0","N/A","10","10","5244","792","2023-12-05T01:17:14Z","2022-09-11T13:21:16Z"
"*./Havoc","offensive_tool_keyword","havoc","Havoc is a modern and malleable post-exploitation command and control framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1027 - T1071-001 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001","TA0002 - TA0003","N/A","N/A","C2","https://github.com/HavocFramework/Havoc","1","1","N/A","10","10","5244","792","2023-12-05T01:17:14Z","2022-09-11T13:21:16Z"
"*./havoc *","offensive_tool_keyword","havoc","Havoc is a modern and malleable post-exploitation command and control framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1027 - T1071-001 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001","TA0002 - TA0003","N/A","N/A","C2","https://github.com/HavocFramework/Havoc","1","0","N/A","10","10","5244","792","2023-12-05T01:17:14Z","2022-09-11T13:21:16Z"
"*/Cracked5pider/*","offensive_tool_keyword","havoc","Havoc is a modern and malleable post-exploitation command and control framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1027 - T1071-001 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001","TA0002 - TA0003","N/A","N/A","C2","https://github.com/HavocFramework/Havoc","1","1","N/A","10","10","5244","792","2023-12-05T01:17:14Z","2022-09-11T13:21:16Z"
"*/demon.x64.bin*","offensive_tool_keyword","havoc","Havoc is a modern and malleable post-exploitation command and control framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1027 - T1071-001 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001","TA0002 - TA0003","N/A","N/A","C2","https://github.com/HavocFramework/Havoc","1","1","N/A","10","10","5244","792","2023-12-05T01:17:14Z","2022-09-11T13:21:16Z"
"*/demon.x64.exe*","offensive_tool_keyword","havoc","Havoc is a modern and malleable post-exploitation command and control framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1027 - T1071-001 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001","TA0002 - TA0003","N/A","N/A","C2","https://github.com/HavocFramework/Havoc","1","1","N/A","10","10","5244","792","2023-12-05T01:17:14Z","2022-09-11T13:21:16Z"
"*/demon1.dll*","offensive_tool_keyword","havoc","Havoc is a modern and malleable post-exploitation command and control framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1027 - T1071-001 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001","TA0002 - TA0003","N/A","N/A","C2","https://github.com/HavocFramework/Havoc","1","1","N/A","10","10","5244","792","2023-12-05T01:17:14Z","2022-09-11T13:21:16Z"
"*/demosyscalls.exe*","offensive_tool_keyword","havoc","Havoc is a modern and malleable post-exploitation command and control framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1027 - T1071-001 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001","TA0002 - TA0003","N/A","N/A","C2","https://github.com/HavocFramework/Havoc","1","1","N/A","10","10","5244","792","2023-12-05T01:17:14Z","2022-09-11T13:21:16Z"
