"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/SharpEventLog.exe*",".{0,1000}\/SharpEventLog\.exe.{0,1000}","offensive_tool_keyword","SharpEventLog","reads all computer information related to successful (4624) or failed (4625) logins on the local machine to quickly identify operations and maintenance personnel during internal network penetration","T1078 - T1087.001","TA0007","N/A","N/A","Discovery","https://github.com/uknowsec/SharpEventLog","1","1","N/A","N/A","4","3","206","34","2019-10-15T06:26:52Z","2019-10-15T06:14:32Z"
"*/SharpEventLog.git*",".{0,1000}\/SharpEventLog\.git.{0,1000}","offensive_tool_keyword","SharpEventLog","reads all computer information related to successful (4624) or failed (4625) logins on the local machine to quickly identify operations and maintenance personnel during internal network penetration","T1078 - T1087.001","TA0007","N/A","N/A","Discovery","https://github.com/uknowsec/SharpEventLog","1","1","N/A","N/A","4","3","206","34","2019-10-15T06:26:52Z","2019-10-15T06:14:32Z"
"*\SharpEventLog.csproj*",".{0,1000}\\SharpEventLog\.csproj.{0,1000}","offensive_tool_keyword","SharpEventLog","reads all computer information related to successful (4624) or failed (4625) logins on the local machine to quickly identify operations and maintenance personnel during internal network penetration","T1078 - T1087.001","TA0007","N/A","N/A","Discovery","https://github.com/uknowsec/SharpEventLog","1","0","N/A","N/A","4","3","206","34","2019-10-15T06:26:52Z","2019-10-15T06:14:32Z"
"*\SharpEventLog.exe*",".{0,1000}\\SharpEventLog\.exe.{0,1000}","offensive_tool_keyword","SharpEventLog","reads all computer information related to successful (4624) or failed (4625) logins on the local machine to quickly identify operations and maintenance personnel during internal network penetration","T1078 - T1087.001","TA0007","N/A","N/A","Discovery","https://github.com/uknowsec/SharpEventLog","1","0","N/A","N/A","4","3","206","34","2019-10-15T06:26:52Z","2019-10-15T06:14:32Z"
"*\SharpEventLog.pdb*",".{0,1000}\\SharpEventLog\.pdb.{0,1000}","offensive_tool_keyword","SharpEventLog","reads all computer information related to successful (4624) or failed (4625) logins on the local machine to quickly identify operations and maintenance personnel during internal network penetration","T1078 - T1087.001","TA0007","N/A","N/A","Discovery","https://github.com/uknowsec/SharpEventLog","1","0","#content","N/A","4","3","206","34","2019-10-15T06:26:52Z","2019-10-15T06:14:32Z"
"*\SharpEventLog.sln*",".{0,1000}\\SharpEventLog\.sln.{0,1000}","offensive_tool_keyword","SharpEventLog","reads all computer information related to successful (4624) or failed (4625) logins on the local machine to quickly identify operations and maintenance personnel during internal network penetration","T1078 - T1087.001","TA0007","N/A","N/A","Discovery","https://github.com/uknowsec/SharpEventLog","1","0","N/A","N/A","4","3","206","34","2019-10-15T06:26:52Z","2019-10-15T06:14:32Z"
"*\SharpEventLog-master*",".{0,1000}\\SharpEventLog\-master.{0,1000}","offensive_tool_keyword","SharpEventLog","reads all computer information related to successful (4624) or failed (4625) logins on the local machine to quickly identify operations and maintenance personnel during internal network penetration","T1078 - T1087.001","TA0007","N/A","N/A","Discovery","https://github.com/uknowsec/SharpEventLog","1","0","N/A","N/A","4","3","206","34","2019-10-15T06:26:52Z","2019-10-15T06:14:32Z"
"*>SharpEventLog<*",".{0,1000}\>SharpEventLog\<.{0,1000}","offensive_tool_keyword","SharpEventLog","reads all computer information related to successful (4624) or failed (4625) logins on the local machine to quickly identify operations and maintenance personnel during internal network penetration","T1078 - T1087.001","TA0007","N/A","N/A","Discovery","https://github.com/uknowsec/SharpEventLog","1","0","#content","N/A","4","3","206","34","2019-10-15T06:26:52Z","2019-10-15T06:14:32Z"
"*20ee05dd8552f0e3600b0d597d202e6d9baf1c1f30029d8a4773bb172016ce42*",".{0,1000}20ee05dd8552f0e3600b0d597d202e6d9baf1c1f30029d8a4773bb172016ce42.{0,1000}","offensive_tool_keyword","SharpEventLog","reads all computer information related to successful (4624) or failed (4625) logins on the local machine to quickly identify operations and maintenance personnel during internal network penetration","T1078 - T1087.001","TA0007","N/A","N/A","Discovery","https://github.com/uknowsec/SharpEventLog","1","0","#filehash","N/A","4","3","206","34","2019-10-15T06:26:52Z","2019-10-15T06:14:32Z"
"*3bf281b68fa29aece79cd0126a3b4552720cefe1045dc974b82523e439a11694*",".{0,1000}3bf281b68fa29aece79cd0126a3b4552720cefe1045dc974b82523e439a11694.{0,1000}","offensive_tool_keyword","SharpEventLog","reads all computer information related to successful (4624) or failed (4625) logins on the local machine to quickly identify operations and maintenance personnel during internal network penetration","T1078 - T1087.001","TA0007","N/A","N/A","Discovery","https://github.com/uknowsec/SharpEventLog","1","0","#filehash","N/A","4","3","206","34","2019-10-15T06:26:52Z","2019-10-15T06:14:32Z"
"*4CA05D5C-AF6B-4F45-81E0-788BAA8D11A2*",".{0,1000}4CA05D5C\-AF6B\-4F45\-81E0\-788BAA8D11A2.{0,1000}","offensive_tool_keyword","SharpEventLog","reads all computer information related to successful (4624) or failed (4625) logins on the local machine to quickly identify operations and maintenance personnel during internal network penetration","T1078 - T1087.001","TA0007","N/A","N/A","Discovery","https://github.com/uknowsec/SharpEventLog","1","0","#GUIDproject","N/A","4","3","206","34","2019-10-15T06:26:52Z","2019-10-15T06:14:32Z"
"*9f4885b3b55f370d05e9426ba900cfa8daaa785129d6d80e576d16e4d497f6c8*",".{0,1000}9f4885b3b55f370d05e9426ba900cfa8daaa785129d6d80e576d16e4d497f6c8.{0,1000}","offensive_tool_keyword","SharpEventLog","reads all computer information related to successful (4624) or failed (4625) logins on the local machine to quickly identify operations and maintenance personnel during internal network penetration","T1078 - T1087.001","TA0007","N/A","N/A","Discovery","https://github.com/uknowsec/SharpEventLog","1","0","#filehash","N/A","4","3","206","34","2019-10-15T06:26:52Z","2019-10-15T06:14:32Z"
"*bb91387aea9bb46572a1b0a0be195f8ca26f47c7e5dc42c04b5b8a614a686c31*",".{0,1000}bb91387aea9bb46572a1b0a0be195f8ca26f47c7e5dc42c04b5b8a614a686c31.{0,1000}","offensive_tool_keyword","SharpEventLog","reads all computer information related to successful (4624) or failed (4625) logins on the local machine to quickly identify operations and maintenance personnel during internal network penetration","T1078 - T1087.001","TA0007","N/A","N/A","Discovery","https://github.com/uknowsec/SharpEventLog","1","0","#filehash","N/A","4","3","206","34","2019-10-15T06:26:52Z","2019-10-15T06:14:32Z"
