"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"* -fake-hostname *",".{0,1000}\s\-fake\-hostname\s.{0,1000}","offensive_tool_keyword","smbsr","Lookup for interesting stuff in SMB shares","T1135","TA0001 - TA0007","N/A","N/A","Discovery","https://github.com/oldboy21/SMBSR","1","0","N/A","N/A","7","2","149","23","2023-06-16T14:35:30Z","2021-11-10T16:55:52Z","1186"
"* options.fake_hostname*",".{0,1000}\soptions\.fake_hostname.{0,1000}","offensive_tool_keyword","smbsr","Lookup for interesting stuff in SMB shares","T1135","TA0001 - TA0007","N/A","N/A","Discovery","https://github.com/oldboy21/SMBSR","1","0","N/A","N/A","7","2","149","23","2023-06-16T14:35:30Z","2021-11-10T16:55:52Z","2454"
"* smbsr.db*",".{0,1000}\ssmbsr\.db.{0,1000}","offensive_tool_keyword","SMBSR","Lookup for interesting stuff in SMB shares","T1110.001 - T1046 - T1021.002 - T1077.001 - T1069.002 - T1083 - T1018","TA0007 - TA0003 - TA0002 - TA0001","N/A","N/A","Reconnaissance","https://github.com/oldboy21/SMBSR","1","0","N/A","N/A","N/A","2","149","23","2023-06-16T14:35:30Z","2021-11-10T16:55:52Z","3237"
"* smbsr.log*",".{0,1000}\ssmbsr\.log.{0,1000}","offensive_tool_keyword","smbsr","Lookup for interesting stuff in SMB shares","T1135","TA0001 - TA0007","N/A","N/A","Discovery","https://github.com/oldboy21/SMBSR","1","0","N/A","N/A","7","2","149","23","2023-06-16T14:35:30Z","2021-11-10T16:55:52Z","3238"
"* smbsr.log*",".{0,1000}\ssmbsr\.log.{0,1000}","offensive_tool_keyword","SMBSR","Lookup for interesting stuff in SMB shares","T1110.001 - T1046 - T1021.002 - T1077.001 - T1069.002 - T1083 - T1018","TA0007 - TA0003 - TA0002 - TA0001","N/A","N/A","Reconnaissance","https://github.com/oldboy21/SMBSR","1","0","N/A","N/A","N/A","2","149","23","2023-06-16T14:35:30Z","2021-11-10T16:55:52Z","3239"
"* smbsr.py*",".{0,1000}\ssmbsr\.py.{0,1000}","offensive_tool_keyword","smbsr","Lookup for interesting stuff in SMB shares","T1135","TA0001 - TA0007","N/A","N/A","Discovery","https://github.com/oldboy21/SMBSR","1","0","N/A","N/A","7","2","149","23","2023-06-16T14:35:30Z","2021-11-10T16:55:52Z","3240"
"* smbsr_results.csv*",".{0,1000}\ssmbsr_results\.csv.{0,1000}","offensive_tool_keyword","smbsr","Lookup for interesting stuff in SMB shares","T1135","TA0001 - TA0007","N/A","N/A","Discovery","https://github.com/oldboy21/SMBSR","1","0","N/A","N/A","7","2","149","23","2023-06-16T14:35:30Z","2021-11-10T16:55:52Z","3241"
"* windapsearch.py*",".{0,1000}\swindapsearch\.py.{0,1000}","offensive_tool_keyword","smbsr","Lookup for interesting stuff in SMB shares","T1135","TA0001 - TA0007","N/A","N/A","Discovery","https://github.com/oldboy21/SMBSR","1","0","N/A","N/A","7","2","149","23","2023-06-16T14:35:30Z","2021-11-10T16:55:52Z","3714"
"* -word-list-path * -file-extensions *",".{0,1000}\s\-word\-list\-path\s.{0,1000}\s\-file\-extensions\s.{0,1000}","offensive_tool_keyword","SMBSR","Lookup for interesting stuff in SMB shares","T1110.001 - T1046 - T1021.002 - T1077.001 - T1069.002 - T1083 - T1018","TA0007 - TA0003 - TA0002 - TA0001","N/A","N/A","Reconnaissance","https://github.com/oldboy21/SMBSR","1","0","N/A","N/A","N/A","2","149","23","2023-06-16T14:35:30Z","2021-11-10T16:55:52Z","3751"
"* -word-list-path tomatch.txt*",".{0,1000}\s\-word\-list\-path\stomatch\.txt.{0,1000}","offensive_tool_keyword","smbsr","Lookup for interesting stuff in SMB shares","T1135","TA0001 - TA0007","N/A","N/A","Discovery","https://github.com/oldboy21/SMBSR","1","0","N/A","N/A","7","2","149","23","2023-06-16T14:35:30Z","2021-11-10T16:55:52Z","3752"
"*#  @oldboy21*",".{0,1000}\#\s\s\@oldboy21.{0,1000}","offensive_tool_keyword","smbsr","Lookup for interesting stuff in SMB shares","T1135","TA0001 - TA0007","N/A","N/A","Discovery","https://github.com/oldboy21/SMBSR","1","0","N/A","N/A","7","2","149","23","2023-06-16T14:35:30Z","2021-11-10T16:55:52Z","3883"
