"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/SharpEventPersist.git*","N/A","offensive_tool_keyword","SharpEventPersist","Persistence by writing/reading shellcode from Event Log","T1055 - T1070.001 - T1547.001","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/improsec/SharpEventPersist","1","1","N/A","10","10","356","52","2022-05-27T14:52:02Z","2022-05-20T14:52:56Z"
"*27F85701-FD37-4D18-A107-20E914F8E779*","N/A","offensive_tool_keyword","SharpEventPersist","Persistence by writing/reading shellcode from Event Log","T1055 - T1070.001 - T1547.001","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/improsec/SharpEventPersist","1","0","N/A","10","10","356","52","2022-05-27T14:52:02Z","2022-05-20T14:52:56Z"
"*7B4D3810-4A77-44A1-8546-779ACF02D083*","N/A","offensive_tool_keyword","SharpEventPersist","Persistence by writing/reading shellcode from Event Log","T1055 - T1070.001 - T1547.001","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/improsec/SharpEventPersist","1","0","N/A","10","10","356","52","2022-05-27T14:52:02Z","2022-05-20T14:52:56Z"
"*-file *.bin -instanceid 1337 - source persistence*","N/A","offensive_tool_keyword","SharpEventPersist","Persistence by writing/reading shellcode from Event Log","T1055 - T1070.001 - T1547.001","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/improsec/SharpEventPersist","1","0","N/A","10","10","356","52","2022-05-27T14:52:02Z","2022-05-20T14:52:56Z"
"*improsec/SharpEventPersist*","N/A","offensive_tool_keyword","SharpEventPersist","Persistence by writing/reading shellcode from Event Log","T1055 - T1070.001 - T1547.001","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/improsec/SharpEventPersist","1","1","N/A","10","10","356","52","2022-05-27T14:52:02Z","2022-05-20T14:52:56Z"
"*SharpEventLoader*","N/A","offensive_tool_keyword","SharpEventPersist","Persistence by writing/reading shellcode from Event Log","T1055 - T1070.001 - T1547.001","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/improsec/SharpEventPersist","1","1","N/A","10","10","356","52","2022-05-27T14:52:02Z","2022-05-20T14:52:56Z"
"*SharpEventLoader.exe*","N/A","offensive_tool_keyword","SharpEventPersist","Persistence by writing/reading shellcode from Event Log","T1055 - T1070.001 - T1547.001","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/improsec/SharpEventPersist","1","1","N/A","10","10","356","52","2022-05-27T14:52:02Z","2022-05-20T14:52:56Z"
"*SharpEventPersist*","N/A","offensive_tool_keyword","SharpEventPersist","Persistence by writing/reading shellcode from Event Log","T1055 - T1070.001 - T1547.001","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/improsec/SharpEventPersist","1","1","N/A","10","10","356","52","2022-05-27T14:52:02Z","2022-05-20T14:52:56Z"
"*SharpEventPersist.exe*","N/A","offensive_tool_keyword","SharpEventPersist","Persistence by writing/reading shellcode from Event Log","T1055 - T1070.001 - T1547.001","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/improsec/SharpEventPersist","1","1","N/A","10","10","356","52","2022-05-27T14:52:02Z","2022-05-20T14:52:56Z"
"*SharpEventPersist-main*","N/A","offensive_tool_keyword","SharpEventPersist","Persistence by writing/reading shellcode from Event Log","T1055 - T1070.001 - T1547.001","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/improsec/SharpEventPersist","1","1","N/A","10","10","356","52","2022-05-27T14:52:02Z","2022-05-20T14:52:56Z"
"*Specify -instanceid 1337*Specify -source 'Persistence*","N/A","offensive_tool_keyword","SharpEventPersist","Persistence by writing/reading shellcode from Event Log","T1055 - T1070.001 - T1547.001","TA0003 - TA0005","N/A","N/A","Persistence","https://github.com/improsec/SharpEventPersist","1","0","N/A","10","10","356","52","2022-05-27T14:52:02Z","2022-05-20T14:52:56Z"
