"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/SharpAzbelt.git*","offensive_tool_keyword","SharpAzbelt","This is an attempt to port Azbelt by Leron Gray from Nim to C#. It can be used to enumerate and pilfer Azure-related credentials from Windows boxes and Azure IaaS resources","T1082 - T1003 - T1027 - T1110 - T1078","TA0006 - TA0007 - TA0005 - TA0004 - TA0003","N/A","N/A","Discovery - Collection","https://github.com/redskal/SharpAzbelt","1","1","N/A","8","1","25","6","2023-09-21T21:47:32Z","2023-09-21T21:44:03Z"
"*[!]    Failed to enumerate Credman:*","offensive_tool_keyword","SharpAzbelt","This is an attempt to port Azbelt by Leron Gray from Nim to C#. It can be used to enumerate and pilfer Azure-related credentials from Windows boxes and Azure IaaS resources","T1082 - T1003 - T1027 - T1110 - T1078","TA0006 - TA0007 - TA0005 - TA0004 - TA0003","N/A","N/A","Discovery - Collection","https://github.com/redskal/SharpAzbelt","1","0","N/A","8","1","25","6","2023-09-21T21:47:32Z","2023-09-21T21:44:03Z"
"*[i] AAD Join:*enumerate*","offensive_tool_keyword","SharpAzbelt","This is an attempt to port Azbelt by Leron Gray from Nim to C#. It can be used to enumerate and pilfer Azure-related credentials from Windows boxes and Azure IaaS resources","T1082 - T1003 - T1027 - T1110 - T1078","TA0006 - TA0007 - TA0005 - TA0004 - TA0003","N/A","N/A","Discovery - Collection","https://github.com/redskal/SharpAzbelt","1","0","N/A","8","1","25","6","2023-09-21T21:47:32Z","2023-09-21T21:44:03Z"
"*[i] Credman:*Credential Blob Decrypted*","offensive_tool_keyword","SharpAzbelt","This is an attempt to port Azbelt by Leron Gray from Nim to C#. It can be used to enumerate and pilfer Azure-related credentials from Windows boxes and Azure IaaS resources","T1082 - T1003 - T1027 - T1110 - T1078","TA0006 - TA0007 - TA0005 - TA0004 - TA0003","N/A","N/A","Discovery - Collection","https://github.com/redskal/SharpAzbelt","1","0","N/A","8","1","25","6","2023-09-21T21:47:32Z","2023-09-21T21:44:03Z"
"*\SharpAzbelt.csproj*","offensive_tool_keyword","SharpAzbelt","This is an attempt to port Azbelt by Leron Gray from Nim to C#. It can be used to enumerate and pilfer Azure-related credentials from Windows boxes and Azure IaaS resources","T1082 - T1003 - T1027 - T1110 - T1078","TA0006 - TA0007 - TA0005 - TA0004 - TA0003","N/A","N/A","Discovery - Collection","https://github.com/redskal/SharpAzbelt","1","0","N/A","8","1","25","6","2023-09-21T21:47:32Z","2023-09-21T21:44:03Z"
"*\SharpAzbelt.exe*","offensive_tool_keyword","SharpAzbelt","This is an attempt to port Azbelt by Leron Gray from Nim to C#. It can be used to enumerate and pilfer Azure-related credentials from Windows boxes and Azure IaaS resources","T1082 - T1003 - T1027 - T1110 - T1078","TA0006 - TA0007 - TA0005 - TA0004 - TA0003","N/A","N/A","Discovery - Collection","https://github.com/redskal/SharpAzbelt","1","0","N/A","8","1","25","6","2023-09-21T21:47:32Z","2023-09-21T21:44:03Z"
"*\SharpAzbelt.sln*","offensive_tool_keyword","SharpAzbelt","This is an attempt to port Azbelt by Leron Gray from Nim to C#. It can be used to enumerate and pilfer Azure-related credentials from Windows boxes and Azure IaaS resources","T1082 - T1003 - T1027 - T1110 - T1078","TA0006 - TA0007 - TA0005 - TA0004 - TA0003","N/A","N/A","Discovery - Collection","https://github.com/redskal/SharpAzbelt","1","0","N/A","8","1","25","6","2023-09-21T21:47:32Z","2023-09-21T21:44:03Z"
"*57D4D4F4-F083-47A3-AE33-AE2500ABA3B6*","offensive_tool_keyword","SharpAzbelt","This is an attempt to port Azbelt by Leron Gray from Nim to C#. It can be used to enumerate and pilfer Azure-related credentials from Windows boxes and Azure IaaS resources","T1082 - T1003 - T1027 - T1110 - T1078","TA0006 - TA0007 - TA0005 - TA0004 - TA0003","N/A","N/A","Discovery - Collection","https://github.com/redskal/SharpAzbelt","1","0","N/A","8","1","25","6","2023-09-21T21:47:32Z","2023-09-21T21:44:03Z"
"*ParseMSALCache*.azure\msal_token_cache.bin*","offensive_tool_keyword","SharpAzbelt","This is an attempt to port Azbelt by Leron Gray from Nim to C#. It can be used to enumerate and pilfer Azure-related credentials from Windows boxes and Azure IaaS resources","T1082 - T1003 - T1027 - T1110 - T1078","TA0006 - TA0007 - TA0005 - TA0004 - TA0003","N/A","N/A","Discovery - Collection","https://github.com/redskal/SharpAzbelt","1","0","N/A","8","1","25","6","2023-09-21T21:47:32Z","2023-09-21T21:44:03Z"
"*ParseMSALCache*Appdata\Local\.IdentityService\msal.cache*","offensive_tool_keyword","SharpAzbelt","This is an attempt to port Azbelt by Leron Gray from Nim to C#. It can be used to enumerate and pilfer Azure-related credentials from Windows boxes and Azure IaaS resources","T1082 - T1003 - T1027 - T1110 - T1078","TA0006 - TA0007 - TA0005 - TA0004 - TA0003","N/A","N/A","Discovery - Collection","https://github.com/redskal/SharpAzbelt","1","0","N/A","8","1","25","6","2023-09-21T21:47:32Z","2023-09-21T21:44:03Z"
