"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* Stompy.ps1*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","0","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"* StomPY.py *","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","0","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*./GoStompy *","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","0","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*.exe* -path * -newTimestamp * -username * -password *","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","0","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*/GoStompy.go*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","1","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*/Stompy.git*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","1","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*/Stompy.ps1*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","1","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*/StomPY.py*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","1","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*\GoStompy.go*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","0","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*\Stompy.ps1*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","0","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*\StomPY.py*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","0","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*\Stompy-main\*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","0","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*784F8029-4D72-4363-9638-5A8D11545494*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","0","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*build GoStompy.go*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","0","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*Invoke-Stompy*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","0","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*StompySharps.csproj*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","1","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*StompySharps.exe*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","1","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*StompySharps.sln*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","1","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
"*ZephrFish/Stompy*","offensive_tool_keyword","Stompy","Timestomp Tool to flatten MAC times with a specific timestamp","T1070.006","TA0005","N/A","N/A","Defense Evasion","https://github.com/ZephrFish/Stompy","1","1","N/A","10","1","36","6","2023-10-15T17:38:23Z","2023-10-14T23:40:32Z"
