"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","Unnamed: 20"
"* -a bruteforce *",".{0,1000}\s\-a\sbruteforce\s.{0,1000}","offensive_tool_keyword","Sitadel","Web Application Security Scanner","T1592.002 - T1210.001 - T1190.001 - T1046 - T1213 - T1071.001","TA0001 - TA0007 - TA0043 - TA0002 - TA0003","N/A","N/A","Network Exploitation tools","https://github.com/shenril/Sitadel","1","0","N/A","N/A","6","536","111","2023-11-29T01:33:28Z","2018-01-17T09:06:24Z",""
"* --attack bruteforce*",".{0,1000}\s\-\-attack\sbruteforce.{0,1000}","offensive_tool_keyword","Sitadel","Web Application Security Scanner","T1592.002 - T1210.001 - T1190.001 - T1046 - T1213 - T1071.001","TA0001 - TA0007 - TA0043 - TA0002 - TA0003","N/A","N/A","Network Exploitation tools","https://github.com/shenril/Sitadel","1","0","N/A","N/A","6","536","111","2023-11-29T01:33:28Z","2018-01-17T09:06:24Z",""
"* --attack injection*",".{0,1000}\s\-\-attack\sinjection.{0,1000}","offensive_tool_keyword","Sitadel","Web Application Security Scanner","T1592.002 - T1210.001 - T1190.001 - T1046 - T1213 - T1071.001","TA0001 - TA0007 - TA0043 - TA0002 - TA0003","N/A","N/A","Network Exploitation tools","https://github.com/shenril/Sitadel","1","0","N/A","N/A","6","536","111","2023-11-29T01:33:28Z","2018-01-17T09:06:24Z",""
"* --attack vulns *",".{0,1000}\s\-\-attack\svulns\s.{0,1000}","offensive_tool_keyword","Sitadel","Web Application Security Scanner","T1592.002 - T1210.001 - T1190.001 - T1046 - T1213 - T1071.001","TA0001 - TA0007 - TA0043 - TA0002 - TA0003","N/A","N/A","Network Exploitation tools","https://github.com/shenril/Sitadel","1","0","N/A","N/A","6","536","111","2023-11-29T01:33:28Z","2018-01-17T09:06:24Z",""
"* sitadel.py*",".{0,1000}\ssitadel\.py.{0,1000}","offensive_tool_keyword","Sitadel","Web Application Security Scanner","T1592.002 - T1210.001 - T1190.001 - T1046 - T1213 - T1071.001","TA0001 - TA0007 - TA0043 - TA0002 - TA0003","N/A","N/A","Network Exploitation tools","https://github.com/shenril/Sitadel","1","0","N/A","N/A","6","536","111","2023-11-29T01:33:28Z","2018-01-17T09:06:24Z",""
"*/Sitadel.git*",".{0,1000}\/Sitadel\.git.{0,1000}","offensive_tool_keyword","Sitadel","Web Application Security Scanner","T1592.002 - T1210.001 - T1190.001 - T1046 - T1213 - T1071.001","TA0001 - TA0007 - TA0043 - TA0002 - TA0003","N/A","N/A","Network Exploitation tools","https://github.com/shenril/Sitadel","1","1","N/A","N/A","6","536","111","2023-11-29T01:33:28Z","2018-01-17T09:06:24Z",""
"*/sitadel.log*",".{0,1000}\/sitadel\.log.{0,1000}","offensive_tool_keyword","Sitadel","Web Application Security Scanner","T1592.002 - T1210.001 - T1190.001 - T1046 - T1213 - T1071.001","TA0001 - TA0007 - TA0043 - TA0002 - TA0003","N/A","N/A","Network Exploitation tools","https://github.com/shenril/Sitadel","1","0","N/A","N/A","6","536","111","2023-11-29T01:33:28Z","2018-01-17T09:06:24Z",""
"*/sitadel.py*",".{0,1000}\/sitadel\.py.{0,1000}","offensive_tool_keyword","Sitadel","Web Application Security Scanner","T1592.002 - T1210.001 - T1190.001 - T1046 - T1213 - T1071.001","TA0001 - TA0007 - TA0043 - TA0002 - TA0003","N/A","N/A","Network Exploitation tools","https://github.com/shenril/Sitadel","1","1","N/A","N/A","6","536","111","2023-11-29T01:33:28Z","2018-01-17T09:06:24Z",""
"*\sitadel.log*",".{0,1000}\\sitadel\.log.{0,1000}","offensive_tool_keyword","Sitadel","Web Application Security Scanner","T1592.002 - T1210.001 - T1190.001 - T1046 - T1213 - T1071.001","TA0001 - TA0007 - TA0043 - TA0002 - TA0003","N/A","N/A","Network Exploitation tools","https://github.com/shenril/Sitadel","1","0","N/A","N/A","6","536","111","2023-11-29T01:33:28Z","2018-01-17T09:06:24Z",""
"*docker run sitadel*",".{0,1000}docker\srun\ssitadel.{0,1000}","offensive_tool_keyword","Sitadel","Web Application Security Scanner","T1592.002 - T1210.001 - T1190.001 - T1046 - T1213 - T1071.001","TA0001 - TA0007 - TA0043 - TA0002 - TA0003","N/A","N/A","Network Exploitation tools","https://github.com/shenril/Sitadel","1","0","N/A","N/A","6","536","111","2023-11-29T01:33:28Z","2018-01-17T09:06:24Z",""
